"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=1607479,1605802,1608422,1605206,1604392,1605048,1594536,1604629,1592369,1592366,1592350,1578689,1595763,1592385,1592381,1592382,1592360,1592372,1598694,1598149,1598785,1598794,1598852,1598774,1599389,1598807,1598767,1599254,1598768,1598824,1598788,1598818,1598804,1598749,1598741,1598281,1598280,1598702,1598790,1598151,1598700,1599383,1596418,1598150,1598699,1598507,1599392,1598775,1598517,1598584,1592287,1599103,1598747,1598597,1598776,1598780,1596227,1599391,1598721,1598755,1598493,1598731,1598795,1597266,1595717,1594458,1595733,1594853,1596992,1597270,1597267,1597385,1597466,1593476,1581387,1592437,1592014,1593376,1592066,1592096,1591916,1591537,1592408,1592464,1592092,1592407,1592203,1592071,1593688,1592470,1593803,1593201,1591671,1589645,1591824,1592874,1593269,1581320,1590053,1593068",2017/05/04 21:43:28
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Quick audio retrieval using multiple feature vectors","Se-Young Kim; Ki-Man Kim; Jae-Kuk Jeon","Dept. of Radio Sci. & Eng., Korea Maritime Univ., Busan, South Korea","2006 Digest of Technical Papers International Conference on Consumer Electronics","20060227","2006","","","3","4","This paper concentrated on the content-based audio retrieval and proposed a quick audio search algorithm. In the previous work, the time-series audio search method with the upper bound proof was generally used. However, the searching speed of a time-series search method is very poor at real time. Therefore, in present paper the preprocessing stage is introduced for this defect. And to enhance the search accuracy we use the multiple feature vectors of audio signal. Through the experiment, the results of retrieval performance are presented.","2158-3994;21583994","POD:0-7803-9459-3","10.1109/ICCE.2006.1598281","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1598281","","Content based retrieval;Data mining;Feature extraction;Histograms;Information retrieval;Multiple signal classification;Search methods;Streaming media;Testing;Upper bound","audio signal processing;content-based retrieval;time series","content-based audio retrieval;feature vectors;quick audio retrieval;time-series audio search method","","0","","5","","","7-11 Jan. 2006","","IEEE","IEEE Conference Publications"
"Continuous music playback based on its chord-progression continuity","S. Gayama","Pioneer Corp., Japan","2006 Digest of Technical Papers International Conference on Consumer Electronics","20060227","2006","","","1","2","This paper presents a new music playback system that can continuously playback a plural number of music lipped from CDs or out of compressed formats without provoking musically uncomfortable feeling. Moreover, it allows users to enjoy their personal collection of music uninterruptedly without any special equipment by which ""keys and/or tempo"" may be changed for specific pieces of music.","2158-3994;21583994","POD:0-7803-9459-3","10.1109/ICCE.2006.1598280","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1598280","","Audio systems;Automatic control;Feature extraction;Multiple signal classification;Music information retrieval;Navigation;Personal communication networks;Recommender systems;Rhythm","acoustic signal processing","chord-progression continuity;compressed formats;continuous music playback","","0","","5","","","7-11 Jan. 2006","","IEEE","IEEE Conference Publications"
"Application-oriented Web services filtering","W. Abramowicz; A. Godlewska; J. Gwizdala; M. Kaczmarek; D. Zyskowski","Dept. of Manage. Inf. Syst., Poznan Univ. of Econ., Poland","International Conference on Next Generation Web Services Practices (NWeSP'05)","20060213","2005","","","6 pp.","","The issue of information overload is quite well resolved in the area of textual documents available on the net by using the paradigm of information filtering. However, as the idea of applications of Internet is still changing and evolving into the more and more dynamic concept connected with the paradigm of Web services, there also appears a need for filtering of different objects. In this paper the concept of application-oriented Web services filtering is discussed. As the proof-of-concept the F-WebS (filtering of Web services) system is presented.","","POD:0-7695-2452-4","10.1109/NWESP.2005.17","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1592408","","Information filtering;Information filters;Information retrieval;Logic;Management information systems;Protocols;Quality of service;Web and internet services;Web services;XML","Internet;information filtering","F-WebS;Internet;application-oriented Web services filtering;information filtering;information overload","","6","","16","","","22-26 Aug. 2005","","IEEE","IEEE Conference Publications"
"Unsupervised word sense disambiguation and rules extraction using non-aligned bilingual corpus","Francisco Oliveira; Fai Wong; Yiping Li; Jie Zheng","Fac. of Sci. & Technol., Univ. of Macau, China","2005 International Conference on Natural Language Processing and Knowledge Engineering","20060227","2005","","","30","35","This paper presents a statistical word sense disambiguation with application in Portuguese-Chinese machine translation systems. Due to the limited availability of Portuguese-Chinese resources in the form of digital corpora and annotated Treebank, an unsupervised learning and a non-aligned bilingual corpus are applied. The proposed method first identifies words related to each of the ambiguous words based on their surrounding words and relative distance. A mathematical model is then applied in the identification of the most suitable sense of an ambiguous word in terms of the related words. All the senses discovered are converted into a set of rules and stored in the sense knowledge base for later use in disambiguation and translation process. Preliminary experiment results show an improvement of 6% in assigning correctly the corresponding translation over the baseline method.","","POD:0-7803-9361-9","10.1109/NLPKE.2005.1598702","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1598702","Machine Translation;Natural Language Processing;Word Sense Disambiguation","Automation;Availability;Dictionaries;Humans;Information retrieval;Mathematical model;Natural language processing;Natural languages;Paper technology;Unsupervised learning","data mining;language translation;natural languages;unsupervised learning","Portuguese-Chinese machine translation system;annotated Treebank;digital corpora;mathematical model;natural language processing;nonaligned bilingual corpus;rules extraction;sense knowledge base;unsupervised learning;word sense disambiguation","","2","","12","","","30 Oct.-1 Nov. 2005","","IEEE","IEEE Conference Publications"
"Development of a WWW image retrieval system using the image knowledge database","M. Shishibori; D. Koizumi; K. Ando; S. Tsuge; K. Kita","Dept. of Inf. Sci. & Intelligent Syst., Tokushima Univ., Japan","2005 International Conference on Natural Language Processing and Knowledge Engineering","20060227","2005","","","506","510","WWW image retrieval systems can retrieve the corresponding images to the query keyword from WWW, however every system cannot retrieve suitable images with high precision. In this paper, a new WWW image retrieval system using the image knowledge database is proposed. This system can show more suitable images by filtering retrieval results of the conventional system. If the query keyword is not registered in the database, the user must select the suitable ones from image data retrieved by the conventional system, and then features of selected images are registered into the database as the supervised data. If the query keyword is the registered one, more similar images to the supervised data in the database can be indicated in the top order. The experimental results show that the average precision of this system becomes 11.6 % better than the conventional system.","","POD:0-7803-9361-9","10.1109/NLPKE.2005.1598790","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1598790","","Content based retrieval;Data engineering;Image databases;Image retrieval;Information retrieval;Knowledge engineering;Reliability engineering;Spatial databases;Systems engineering and theory;World Wide Web","Internet;image registration;image retrieval;information filtering;visual databases","WWW image retrieval system;image knowledge database;image registration;query keyword;retrieval result filtering","","1","","10","","","30 Oct.-1 Nov. 2005","","IEEE","IEEE Conference Publications"
"Extended semantic Web services model for automatic integrated framework","Okkyung Choi; Sangyong Han; A. Abraham","Dept. of Comput. Sci. & Eng., Chung Ang Univ., Seoul, South Korea","International Conference on Next Generation Web Services Practices (NWeSP'05)","20060213","2005","","","8 pp.","","In this paper, problems of the existing Web services are analyzed and the extended semantic Web service model applying the semantic Web technology is suggested as a solution to these problems. The suggested model can perceive the service user's requests accurately by using the ontology server and provides automated and integrated framework based semantic Web services through priority ranking of search results using the matchmaking service and rule-based service.","","POD:0-7695-2452-4","10.1109/NWESP.2005.39","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1592464","","Computer science;Design methodology;Engines;Information retrieval;Information security;Microstrip;OWL;Ontologies;Semantic Web;Web services","ontologies (artificial intelligence);semantic Web","matchmaking service;ontology server;priority ranking;rule-based service;semantic Web services model","","3","","11","","","22-26 Aug. 2005","","IEEE","IEEE Conference Publications"
"A music recommendation system based on annotations about listeners' preferences and situations","K. Kaji; K. Hirata; K. Nagao","Graduate Sch. of Inf. Sci., Nagoya Univ., Japan","First International Conference on Automated Production of Cross Media Content for Multi-Channel Distribution (AXMEDIS'05)","20060213","2005","","","4 pp.","","In this paper, we present a playlist generation scheme that uses lyrics and annotations to discover similarity between kinds of music and user tastes. It generates a playlist according to user preferences and situations. Additionally, users can provide some feedbacks to the system such as whether each tune is suitable for the preference and the situation. The system transforms the feature values concerning preferences and situations and adapts them to each user. The playlists are generated through three phases. First, an initial playlist is found from databases by content-based retrieval. Second, transcoding improves the playlist according to the user's preference and situation. Finally, by interaction between the system and the user, the playlist becomes more suitable for the user.","","POD:0-7695-2348-X","10.1109/AXMEDIS.2005.3","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1592092","","Collaboration;Feedback;Filtering;Information science;Internet;Laboratories;Music information retrieval;Recommender systems;Spatial databases;Transcoding","content-based retrieval;human computer interaction;information filtering;music","content-based retrieval;listener preference;music recommendation system;playlist generation scheme;transcoding;user interaction","","4","10","12","","","30 Nov.-2 Dec. 2005","","IEEE","IEEE Conference Publications"
"Keyword extraction in open-domain multilingual textual resources","A. Panunzi; M. Fabbri; M. Moneglia","LABLITA, Florence Univ., Italy","First International Conference on Automated Production of Cross Media Content for Multi-Channel Distribution (AXMEDIS'05)","20060213","2005","","","4 pp.","","The paper presents three methods for keyword extraction in open-domain multilingual textual resources, which will be implemented within the AXMEDIS framework. The procedures exploit, in an integrated architecture, statistic analysis and linguistic resources/tools, allowing document indexing and retrieval through high-level descriptors.","","POD:0-7695-2348-X","10.1109/AXMEDIS.2005.29","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1592096","","Content based retrieval;Data mining;Databases;Frequency;Indexing;Information retrieval;Natural languages;Statistical analysis;Statistics;Thesauri","indexing;information retrieval;linguistics;statistical analysis;text analysis","AXMEDIS framework;document indexing;document retrieval;high-level descriptor;keyword extraction;open-domain multilingual textual resources;statistic analysis","","3","2","13","","","30 Nov.-2 Dec. 2005","","IEEE","IEEE Conference Publications"
"Portuguese parliamentary records: a multimedia digital library distributed architecture, based on Web services","J. S. Pinto; J. A. Martins; P. Almeida; M. Fernandes; H. Zagalo","Dept. of Electron. & Telecommun., Aveiro Univ., Portugal","International Conference on Next Generation Web Services Practices (NWeSP'05)","20060213","2005","","","6 pp.","","This paper presents the overall work of the Portuguese parliamentary records: a multimedia digital library composed by the parliamentary records and an audiovisual archive. These systems are briefly described and a distributed architecture, based on Web services, that allows integrating information from different systems that compose the multimedia digital library, is presented and analyzed.","","POD:0-7695-2452-4","10.1109/NWESP.2005.64","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1592407","","Catalogs;Collaboration;History;Image retrieval;Information analysis;Information retrieval;Multimedia systems;Service oriented architecture;Software libraries;Web services","Internet;digital libraries;government data processing;multimedia systems","Portuguese parliamentary records;Web services;audiovisual archive;multimedia digital library distributed architecture","","0","","10","","","22-26 Aug. 2005","","IEEE","IEEE Conference Publications"
"Geospatial Semantic Query by Integrating Geospatial Reasoning on the Geospatial Semantic Web","K. K. Win; Khin Haymar Saw Hla","University of Computer Studies, Yangon, Myanmar, ucsy23@most.gov.mm","6th Asia-Pacific Symposium on Information and Telecommunication Technologies","20060213","2005","","","272","275","In today's fast-growing information age, currently available methods for finding and using information on the Web are often insufficient. Today's retrieval methods are typically limited to keywords searches or sub-string matches, therefore, users may often miss critical information when searching the Web. After reviewing the real world semantic Web, additional research is needed on the geospatial semantic Web. We are rich in geospatial data but poor in up-to-date geospatial information and knowledge that are ready to be used by anyone who wants to use it. In this paper, we implement an approach for querying geospatial semantic by integrating spatial reasoning that contributes to the development of geospatial semantic Web. It is important to establish a geospatial semantics that support for effective spatial reasoning for performing geospatial semantic query. People are more understandable spatial relation (i.e. qualitative reasoning) through natural language instead of metric measurements (i.e. quantitative reasoning). Qualitative spatial reasoning is necessary because the common-sense reasoning which humans apply to spatial issues is generally qualitative. These include the use of qualitative modifiers, proxy place names to support effective spatial ontologies with a formal semantics; the representation of those semantics such that they are available to machines for processing and to people for understanding. Compared to earlier keyword-based and information retrieval techniques that rely on syntax, we use semantic approaches in our spatial queries. Semantic approaches needs the development of ontologies. We use ontology mapping because such complex semantic comparisons between domain values of different data sets cannot be done using a simple algorithm or a fully automatic method. To be efficient and effective querying, we integrate geospatial reasoning such as coordinate relationships, topological relationships, spatial inference and etc","","POD:4-88552-216-1","10.1109/APSITT.2005.203669","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1593476","geospatial;ontology;semantic;spatial reasoning;topological","Humans;Inference algorithms;Information retrieval;Keyword search;Natural languages;Ontologies;Semantic Web","common-sense reasoning;ontologies (artificial intelligence);query processing;semantic Web;spatial reasoning","common-sense reasoning;coordinate relationships;formal semantics;geospatial reasoning;geospatial semantic Web;geospatial semantic query;information retrieval techniques;keywords searches;natural language;ontology mapping;proxy place names;qualitative modifiers;qualitative spatial reasoning;spatial inference;spatial ontologies;sub-string matches;topological relationships;up-to-date geospatial information","","1","","15","","","10-10 Nov. 2005","","IEEE","IEEE Conference Publications"
