"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=5501567,5496544,5226623,5497725,5496214,5497425,5495733,5495217,5497544,5494963,5495955,5495784,5494969,5497592,5495763,5494962,5494841,5490611,5485294,5488353,5486346,5477470,5477555,5478019,5478723,5477641,5474148,5470371,5460540,5461747,5460074,5451821,5447135,5447276,5406165,5444751,5443168,5440089,5432263,5432257,5432259,5430129,5383337,5420183,5419599,5413585,5413596,5413602,5414141,5409716,5410074,5200341,5337963,5407588,5403378,5394361,5396035,5395145,5397964,5381694,5383228,5381717,5382376,5381398,5381397,5380246,5380181,5380453,5381403,5376705,5376809,5368587,5368152,5368662,5368092,5371537,5370117,5372198,5363677,5359300,5358089,5357625,5361629,5366527,5359234,5359634,5358873,5363083,5366998,5361715,5366050,5360078,5358479,5356390,5164895,5353208,5350038,5349929,5349403,5350039",2017/05/04 20:42:37
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"The Research of Non-back Multi-words Matching Algorithm Based on Aggregate Address Inverted Index","A. Junxiu","Sch. of Software Eng., Chengdu Univ. of Inf. Technol. (CUIT), Chengdu, China","2009 International Conference on E-Learning, E-Business, Enterprise Information Systems, and E-Government","20091228","2009","","","200","203","The generation of massive information makes the development and application of information retrieval technology become inevitable. The construction of the inverted index can complete the information retrieval effectively, but it didn't consider the accuracy and quickness of the information retrieval. The paper which based on the inverted technology put forward the aggregate addresses inverted index technology to complete the main design of the index system. The use of the improved relevance ranking algorithm and the non-back multi-words matching algorithm complete the main design of the query system. It can adjust the balance of the performance between index and query. The results of system tested indicate that has better universality, higher performance and better scalability of the scale.","2161-9220;21619220","POD:978-0-7695-3907-2","10.1109/EEEE.2009.21","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5359300","index capability;information retrieval;inverted index;non-back multi-words matching algorithm;query capability;relevance ranking algorithm","Aggregates;Algorithm design and analysis;Electronic learning;IP networks;Information retrieval;Information systems;Paper technology;Pattern matching;Search engines;Space technology","indexing;query processing","aggregate addresses inverted index technology;improved relevance ranking algorithm;information retrieval technology;nonback multiwords matching algorithm;query system","","0","","7","","","5-6 Dec. 2009","","IEEE","IEEE Conference Publications"
"Bring User Feedback into Keyword Search over Databases","Z. Peng; J. Zhang; S. Wang; C. Wang","Sch. of Comput. Sci. & Technol., Shandong Univ., Jinan, China","2009 Sixth Web Information Systems and Applications Conference","20091231","2009","","","210","214","Keyword search over relational databases (KSORD) enables casual users to use keyword queries (a set of keywords) to search relational databases just like searching the Web, without any knowledge of the database schema or any need of writing SQL queries. In KSORD, retrieval of user's initial query is often unsatisfying. User has to reformulate his query and execute the new query, which costs much time and effort. A method of automatically reformulating user queries by user feedback aimed at the results of KSORD is introduced in this paper, which is named UFBP (user feedback based on probability). After the first time of retrieval, according to the users' feedback information, UFBP computes terms to be added into the expanded query based on probability and reformulates the new query using query expansion. After KSORD executing the new query automatically, more relevant results are presented to user. Experimental results verify its effectiveness.","","POD:978-0-7695-3874-7","10.1109/WISA.2009.29","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5368092","information retrieval;relational database;relevance feedback","Application software;Computer science;Educational technology;Feedback;Information retrieval;Information systems;Keyword search;Relational databases;Tree graphs;Writing","probability;query processing;relational databases;relevance feedback","information retrieval;keyword search;probability;query expansion;relational database;user feedback","","1","","17","","","18-20 Sept. 2009","","IEEE","IEEE Conference Publications"
"Double Rulings for Information Brokerage in Sensor Networks","R. Sarkar; X. Zhu; J. Gao","Dept. of Comput. Sci., State Univ. of New York at Stony Brook, Stony Brook, NY, USA","IEEE/ACM Transactions on Networking","20091215","2009","17","6","1902","1915","We study the problem of <i>information brokerage</i> in sensor networks, where information consumers (sinks, users) search for data acquired by information producers (sources). In-network storage such as geographical hash table (GHT) has been proposed to store data at rendezvous nodes for consumers to retrieve. In this paper, we propose a <i>double rulings</i> scheme that stores data replicas on a curve instead of one or multiple isolated sensors. The consumer travels along another curve that is guaranteed to intersect the producer curve. The double rulings is a natural extension of the flat hashing scheme such as GHTs. It has improved query locality-i.e., consumers close to producers find the data quickly-and structured aggregate queries, i.e., a consumer following a curve is able to retrieve <i>all</i> the data. Furthermore, by the flexibility of retrieval mechanisms, we have better routing robustness (as multiple retrieval paths are available) and data robustness against regional node failures. We show by simulation that the double rulings scheme provides reduced communication costs and more balanced traffic load on the sensors.","1063-6692;10636692","","10.1109/TNET.2009.2015573","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5164895","Data-centric routing;double rulings;information storage and retrieval;sensor networks","","information retrieval","double rulings;flat hashing scheme;geographical hash table;information brokerage;retrieval mechanism flexibility;sensor networks","","30","","34","","20090714","Dec. 2009","","IEEE","IEEE Journals & Magazines"
"Machine Learning Approaches for Mood Classification of Songs toward Music Search Engine","T. T. Dang; K. Shirai","Japan Adv. Inst. of Sci. & Technol., Nomi, Japan","2009 International Conference on Knowledge and Systems Engineering","20091228","2009","","","144","149","Human often wants to listen to music that fits best his current emotion. A grasp of emotions in songs might be a great help for us to effectively discover music. In this paper, we aimed at automatically classifying moods of songs based on lyrics and metadata, and proposed several methods for supervised learning of classifiers. In future, we plan to use automatically identified moods of songs as metadata in our music search engine. Mood categories in a famous contest about Audio Music Mood Classification (MIREX 2007) are applied for our system. The training data is collected from a LiveJournal blog site in which each blog entry is tagged with a mood and a song. Then three kinds of machine learning algorithms are applied for training classifiers: SVM, Naive Bayes and Graph-based methods. The experiments showed that artist, sentiment words, putting more weight for words in chorus and title parts are effective for mood classification. Graph-based method promises a good improvement if we have rich relationship information among songs.","","POD:978-1-4244-5086-2","10.1109/KSE.2009.10","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5361715","machine learning;mood classification;music information retrieval;text categorization","Humans;Information services;Internet;Machine learning;Machine learning algorithms;Mood;Search engines;Supervised learning;Training data;Web sites","Bayes methods;Web sites;graph theory;learning (artificial intelligence);meta data;music;pattern classification;search engines;support vector machines","LiveJournal blog site;SVM;audio music mood classification;graph-based methods;machine learning approaches;metadata;mood categories;mood classification;music search engine;naive Bayes methods;song lyrics;supervised learning","","3","","13","","","13-17 Oct. 2009","","IEEE","IEEE Conference Publications"
"Improving Scientific Data Extraction Using Metadata Classification","Y. S. Chang; H. J. Lai; H. T. Cheng","Dept. of Comp. Sci. & Inf. Eng., Nat. Taipei Univ., Taipei, Taiwan","2009 10th International Symposium on Pervasive Systems, Algorithms, and Networks","20100115","2009","","","669","673","There are large scientific data archives manage and store huge quantities of data, deal with this data throughout its life cycle, and focus on particular scientific domains. Metadata can be used for assisting the information retrieval. Using metadata to represent the file system also reduces the processing required to handle operations. While the number of metadata file is daily incremental with the number of scientific data file increased, utilizing metadata file to help accessing daily-incremental data set is increasingly difficult. In this paper, we propose a Metadata Classification (MC) approach to construct a GridMap that is a two dimension array to assist user program quickly inquiring the target files. According to the performance evaluation, it shows that the MC approach has a significant performance enhancement in finding the target file.","1087-4089;10874089","Electronic:978-1-4244-5404-4; POD:978-1-4244-5403-7","10.1109/I-SPAN.2009.105","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5381694","Argo;Information Retrieval;Metadata Classification;Ocean data","Data mining;Databases;Delay;Earth Observing System;File systems;Indexing;Information retrieval;Oceans;Sensor systems","data handling;information retrieval;meta data;performance evaluation","GridMap;information retrieval;metadata classification;metadata file;performance evaluation;scientific data extraction","","1","","9","","","14-16 Dec. 2009","","IEEE","IEEE Conference Publications"
"Multi-language Ontology-Based Search Engine","L. Zhuhadar; O. Nasraoui; R. Wyatt; E. Romero","Dept. of Comput. Eng. & Comput. Sci., Univ. of Louisville, Louisville, KY, USA","2010 Third International Conference on Advances in Computer-Human Interactions","20100315","2010","","","13","18","One of the first Multi-Language Information Retrieval (MLIR) systems was implemented in 1969 by Gerard Salton who enhanced his SMART system to retrieve multilingual documents in two languages, English and German. However, the research field of MLIR is still struggling since the majority of information retrieval systems are monolingual and more precisely English-based, even though only 6% of the world's population native language have as English [14]. This paper presents a Multi-Language Information Retrieval (MLIR) approach that falls into the area of Domain Specific Information Retrieval (E-learning being the domain). The approach we followed is a synergistic approach between (1) Thesaurus-based Approach and (2) Corpus-based Approach. This research has been implemented on a real platform called HyperManyMedia<sup>1</sup> at Western Kentucky University.","","Electronic:978-1-4244-5694-9; POD:978-1-4244-5693-2","10.1109/ACHI.2010.43","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5430129","cross language;elearning;information retrieval;multi-language information retrieval;ontology;search engine","Computer aided instruction;Computer science;Electronic learning;Information retrieval;Knowledge engineering;Natural languages;Ontologies;Search engines;System testing;Web mining","information retrieval;information retrieval systems;natural languages;ontologies (artificial intelligence);search engines;thesauri","HyperManyMedia;SMART system;Thesaurus based approach;corpus based Approach;domain specific information retrieval;multilanguage information retrieval systems;multilanguage ontology based search engine;multilingual documents retrieval","","0","","27","","","10-15 Feb. 2010","","IEEE","IEEE Conference Publications"
"Incorporating Cultural Representations of Features Into Audio Music Similarity Estimation","K. West; S. Cox","Sch. of Comput. Sci., Univ. of East Anglia, Norwich, UK","IEEE Transactions on Audio, Speech, and Language Processing","20100208","2010","18","3","625","637","We address the problem of estimating automatically from audio signals the similarity between two pieces of music, a technology that has many applications in the online digital music industry. Conventional methods of audio music search use distance measures between features derived from the audio for this task. We describe three techniques that make use of music classifiers to derive representations of audio features that are based on culturally motivated information learned by the classifier. When these representations are used for similarity estimation, they produce very significant reductions in computational complexity over existing techniques (such as those based on the KL-divergence), and also produce metric similarity spaces, which facilitate the use of technologies for the sub-linear scaling of search times. We have evaluated each system using both pseudo-objective techniques and human listeners, and we demonstrate that this efficiency gain is obtained while providing a comparable level of performance when compared with existing techniques.","1558-7916;15587916","","10.1109/TASL.2009.2025533","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5410074","Music information retrieval (MIR);music semantics;music similarity estimation","Collaboration;Computational complexity;Cultural differences;Databases;Filtering;Humans;Multiple signal classification;Music information retrieval;Performance gain;Space technology","audio signal processing;information retrieval;music","audio music search;audio music similarity estimation;cultural representation;metric similarity space;music classifier;music information retrieval;pseudoobjective technique;sublinear scaling","","0","","46","","","March 2010","","IEEE","IEEE Journals & Magazines"
"A parallel architecture for meaning comparison","S. Mohan; A. Biswas; A. Tripathy; J. Pannigrahy; R. Mahapatra","Department of Computer Science and Engineering, Texas A&M University, College Station, Texas, USA","2010 IEEE International Symposium on Parallel & Distributed Processing (IPDPS)","20100524","2010","","","1","10","In this paper we present a fine grained parallel architecture that performs meaning comparison using vector cosine similarity (dot product). Meaning comparison assigns a similarity value to two objects (e.g. text documents) based on how similar their meanings (represented as two vectors) are to each other. The novelty of our design is the fine grained parallelism which is not exploited in available hardware based dot product processor designs and can not be achieved in traditional server class processors like the Intel Xeon. We compare the performance of our design against that of available hardware based dot product processors as well a server class processor using optimum software code performing the same computation. We show that our hardware design can achieve a speedup of 62,000 times compared to an available hardware design and a speedup of 8866 times with 33% (1.5 times) less power consumption, compared to software code running on Intel Xeon processor for 1024 basis vectors. Our design can significantly reduce the amount of servers required for similarity comparison in a distributed search engine. Thus it can enable reduction in energy consumption, investment, operational costs and floor area in search engine data centers. This design can also be deployed for other applications which require fast dot product computation.","1530-2075;15302075","Electronic:978-1-4244-6443-2; POD:978-1-4244-6442-5","10.1109/IPDPS.2010.5470371","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5470371","Meaning comparison;dot product computation;green computing;hardware accelerator;information retrieval","Costs;Energy consumption;Hardware;Investments;Parallel architectures;Parallel processing;Process design;Product design;Search engines;Software performance","energy consumption;multiprocessing systems;parallel architectures;search engines","Intel Xeon processor;distributed search engine;dot product computation;energy consumption;fine grained parallel architecture;fine grained parallelism;floor area;hardware based dot product processor designs;hardware based dot product processors;investment;meaning comparison;operational costs;optimum software code;search engine data centers;server class processors;vector cosine similarity","","2","","22","","","19-23 April 2010","","IEEE","IEEE Conference Publications"
"FTS: An efficient tree structure based tool for searching in large data sets","A. S. Badashian; M. Najafpour; M. Mandavi; M. A. Deichen; I. Khalkhali","Software Engineering Department, Islamic Azad University - Lahijan Branch, Lahijan, Iran","2010 2nd IEEE International Conference on Information Management and Engineering","20100603","2010","","","294","298","This paper addresses the issue of finding and accessing desired items when a large amount of data items are concerned, by proposing some concepts based on Tree Search Structure -a hierarchical structure for information retrieval. The proposed concepts are applicable to several environments such as File Managers on PCs, help tree views, site maps, taxonomies, and cell phones. A software tool, FTS (File Tree Search), that is developed to utilize the proposed concepts is also presented.","","Electronic:978-1-4244-5264-4; POD:978-1-4244-5263-7","10.1109/ICIME.2010.5477555","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5477555","File Manager;Information Search and Retrieval;Taxonomy;Tree Structure","Cellular phones;Data engineering;Information management;Information retrieval;Personal communication networks;Software engineering;Software tools;Taxonomy;Tree data structures;Utility programs","information retrieval;software tools;tree data structures;tree searching","file managers;file tree search;information retrieval;large data sets;tree search structure","","0","","15","","","16-18 April 2010","","IEEE","IEEE Conference Publications"
"Framework for analysis and improvement of data-fusion algorithms","M. O. Nassar; G. Kanaan; H. A. H. Awad","Department of Computer Information Systems in the University of Banking and Financial Sciences Arab Academy for Banking and Financial Sciences, Amman, Jordan","2010 2nd IEEE International Conference on Information Management and Engineering","20100603","2010","","","379","382","The data-fusion techniques have been investigated by many researchers and have been used in implementing several information retrieval systems. Introducing a new or improved data-fusion algorithm is an active research area for the researchers' community. We propose a framework for analyses and improvement of Data-fusion algorithms; this framework is going to be: First; a supportive tool for researchers when they are going to design a new Data-fusion algorithm by providing them with an extensive analysis and refinement for their new fusion algorithms, second; it can help researchers in understanding, analyzing, and improving existing Data-fusion algorithms.","","Electronic:978-1-4244-5264-4; POD:978-1-4244-5263-7","10.1109/ICIME.2010.5478019","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5478019","Data-Fusion Algorithms;Information systems;Metasearch engines;information retrieval;performance analysis and improvement","Algorithm design and analysis;Banking;Fuses;Information analysis;Information retrieval;Information systems;Metasearch;Performance analysis;Problem-solving;Search engines","information retrieval systems;sensor fusion","data fusion algorithms;information retrieval systems;information systems;metasearch engines","","0","","18","","","16-18 April 2010","","IEEE","IEEE Conference Publications"
