"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=6918252,6918218,6917149,6915567,6915316,6912705,6912125,6906878,6909132,6906721,6863933,6903747,6903376,6863912,6900095,6899166,6897213,6897239,6894850,6890473,6892740,6890485,6890480,6891890,6890547,6890482,6890362,6889397,6889935,6889659,6889771,6889615,6888858,6887541,6888690,6680633,6885299,6841003,6884429,6881394,6880823,6878762,6878723,6877463,6877002,6877319,6875688,6873597,6873812,6874736,6871719,6513227,6869324,6626350,6868017,6867822,6864474,6864440,6865089,6863406,6863282,6858422,6839831,6855902,6852514,6850925,6849839,6850383,6849102,6847340,6847364,6848023,6728705,6847567,6845826,6671395,6845513,6841848,6843018,6844615,6841442,6841443,6838788,6839279,6786488,6835033,6824804,6830667,6832001,6831172,6658906,6832125,6825604,6822151,6822791,6821566,6822147,6821193,6820422,6819190",2017/05/04 23:33:46
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Runtime Optimizations for Tree-Based Machine Learning Models","N. Asadi; J. Lin; A. P. de Vries","Department of Computer Science, University of Maryland, College Park, MD, USA","IEEE Transactions on Knowledge and Data Engineering","20140805","2014","26","9","2281","2292","Tree-based models have proven to be an effective solution for web ranking as well as other machine learning problems in diverse domains. This paper focuses on optimizing the runtime performance of applying such models to make predictions, specifically using gradient-boosted regression trees for learning to rank. Although exceedingly simple conceptually, most implementations of tree-based models do not efficiently utilize modern superscalar processors. By laying out data structures in memory in a more cache-conscious fashion, removing branches from the execution flow using a technique called predication, and micro-batching predictions using a technique called vectorization, we are able to better exploit modern processor architectures. Experiments on synthetic data and on three standard learning-to-rank datasets show that our approach is significantly faster than standard implementations.","1041-4347;10414347","","10.1109/TKDE.2013.73","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6513227","General;Information Storage and Retrieval;Information Technology and Systems;Learning to Rank;Scalability and Efficiency;Web Search;Web search;general information storage and retrieval;information technology and systems;learning to rank;regression trees;scalability and efficiency","Arrays;Indexes;Optimization;Predictive models;Program processors;Regression tree analysis","Internet;cache storage;information retrieval;learning (artificial intelligence);regression analysis;tree data structures","Web ranking;cache-conscious fashion;data structures;execution flow;gradient-boosted regression trees;learning-to-rank datasets;microbatching predictions;predication technique;processor architectures;runtime performance optimizations;superscalar processors;synthetic data;tree-based machine learning models;vectorization technique","","5","","36","","20130503","Sept. 2014","","IEEE","IEEE Journals & Magazines"
"Automated Trading with Machine Learning on Big Data","D. Ruta","BT Innovation Centre (EBTIC), Khalifa Univ., Abu Dhabi, United Arab Emirates","2014 IEEE International Congress on Big Data","20140925","2014","","","824","830","Financial markets are now extremely efficient,nevertheless there are still many investment funds that generatealpha systematically beating markets' return benchmarks. Theemergence of big data gave professional traders the newterritory, leverage and evidence and renewed opportunitiesof their profitable exploitation by Machine Learning (ML)models, increasingly taking over the trading floor by 24/7automated trading in response to the continuously fed datastreams. Rapidly increasing data sizes and strictly real-timerequirements of the trading models render large subset ofML methods intractable, overcomplex and impossible to applyin practise. In this work we demonstrate how to efficientlyapproach the problem of automated trading with large portfoliostrategy that continuously consumes streams of data acrossmultiple diverse markets. We demonstrate a simple scalabletrading model that learns to generate profit from multiple intermarketprice predictions and markets' correlation structure.We also introduce the stochastic trade diffusion technique tomaximise trading turnover while reducing strategy's exposureto market impact and construct the efficient risk-mitigatingportfolio that backtests with the strong positive return.","2379-7703;23797703","Electronic:978-1-4799-5057-7; POD:978-1-4799-5058-4","10.1109/BigData.Congress.2014.143","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6906878","Keywords-machine learning;classification;logistic regression","Big data;Feature extraction;Logistics;Market research;Portfolios;Time series analysis;Vectors","Big Data;financial data processing;investment;learning (artificial intelligence);stochastic processes","automated trading;big data;large portfolio strategy;machine learning;market correlation structure;multiple intermarket price predictions;positive return;profit generation;risk-mitigating portfolio;scalable trading model;stochastic trade diffusion technique;trading turnover maximisation","","1","","12","","","June 27 2014-July 2 2014","","IEEE","IEEE Conference Publications"
"A Novel approach to predict diabetes mellitus using modified Extreme learning machine","R. Priyadarshini; N. Dash; R. Mishra","C.V. Raman College of Engg., Bhubaneswar, India","2014 International Conference on Electronics and Communication Systems (ICECS)","20140908","2014","","","1","5","Data Classification and predictions are one of the prime tasks in Data mining. They continue to play a vital role in the area of computer science and data processing field. Clustering and classifications in Data Mining are used in various domains to give meaning to the available data and give some useful prediction results which can be applied to some of the crucial problem areas of the real world. Diabetes mellitus otherwise known as a slow poison by the medical experts is a major, alarming and gradually becoming a global problem. This paper experimented and used the concept of modified extreme learning machine to identify the patients of being diabetic or non-diabetic basing on some previously given data which in turn helps the medical people to identify whether someone is affected by diabetes or not. It also describes and compares the application of two popular machine learning methods: Back propagation neural network and modified Extreme learning machine which are used as binary classifiers to address the diabetes prediction problem. These two approaches are applied on same type of multi class classification datasets and the work tries to generate some comparative inferences from training and testing results. The datasets which are used in our work is taken from UCI learning repository.","","Electronic:978-1-4799-2320-5; POD:978-1-4799-6638-7","10.1109/ECS.2014.6892740","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6892740","Back propagation algorithm;Classification;Diabetes mellitus;Extreme learning machine","Artificial neural networks;Biology;Classification algorithms;Computer architecture;Databases;Diseases;Prediction algorithms","backpropagation;diseases;medical information systems;neural nets;pattern classification","UCI learning repository;back propagation neural network;binary classifiers;diabetes mellitus prediction;machine learning methods;modified extreme learning machine;multiclass classification datasets;slow poison","","4","","9","","","13-14 Feb. 2014","","IEEE","IEEE Conference Publications"
"A machine learning approach for detecting MAP kinase in the genome of Oryza sativa L. ssp. indica","N. Hemalatha; M. K. Rajesh; N. K. Narayanan","Dept. of Comput. Sci., AIMIT, Mangalore, India","2014 IEEE Conference on Computational Intelligence in Bioinformatics and Computational Biology","20140630","2014","","","1","6","Plant development and crop yield are highly influenced by temperature. High temperature negatively affects different stages of plant development in rice, mainly booting and flowering. Identifying candidate genes associated with high-temperature stress response may provide knowledge for the improvement of heat tolerance in rice. As the rice genome sequencing has already been undertaken, a major work challenge is annotating proteins and decoding their functionalities. MAP kinase (MAPK) proteins are involved in signaling various abiotic and biotic stresses, like temperature stress or drought, wounding and pathogen infection. Moreover, MAPKs have also been implicated in cell cycle and developmental processes. In this study, an attempt has been made in developing a MAP kinase prediction tool for rice, MapPred. The computational approach has been developed using Sequential Minimum Optimization (SMO) algorithm in Weka workbench, and a sensitivity of 100% was obtained using dipeptide method. MapPred was also tested with three plants, namely Arabidopsis, maize and tomato to prove that developed tool has higher accuracy with rice than other plants which further proves the higher prediction accuracy of species-specific tools. Prediction performance of MapPred was evaluated using cross validation, independent data test and leave one out validation. Our experimental results demonstrated that proposed algorithm based on dipeptide method could be very effective in the computational approach for predicting MAPK proteins in Oryza sativasubsp.indica.","","Electronic:978-1-4799-4536-8; POD:978-1-4799-4535-1; USB:978-1-4799-4537-5","10.1109/CIBCB.2014.6845513","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6845513","","Accuracy;Amino acids;Protein sequence;Sensitivity;Training;Vectors","biology computing;biothermics;crops;enzymes;genetics;genomics;learning (artificial intelligence);molecular biophysics;optimisation","Arabidopsis;MAP kinase detection;MAP kinase prediction tool;MAP kinase proteins;MapPred;Oryza sativa L. ssp. indica genome;Oryza sativa sub sp. indica;SMO;Sequential Minimum Optimization algorithm;Weka workbench;abiotic stresses;booting;candidate genes;cell cycle;computational approach;crop yield;cross validation;developmental processes;dipeptide method;drought;flowering;functionality decoding;heat tolerance;high-temperature stress response;independent data test;leave one out validation;machine learning approach;maize;pathogen infection;plant development stages;prediction accuracy;prediction performance;protein annotation;rice genome sequencing;species-specific tools;tomato;wounding","","0","","23","","","21-24 May 2014","","IEEE","IEEE Conference Publications"
"Enhancing indoor positioning based on partitioning cascade machine learning models","S. Premchaisawatt; N. Ruangchaijatupon","Dept. of Electr. Eng., Kaen Univ., Khon Kaen, Thailand","2014 11th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)","20140717","2014","","","1","5","This paper proposes the method, called Partitioning Machine Learning Classifier (PMLC), to enhance accuracy of fingerprinting indoor positioning by using machine learning algorithms. PMLC exploits limited information of the signal strength and combines a clustering task and a classification task. PMLC is compared with well-known machine learning classifiers, i.e. Decision Tree, Naive Bayes, and Artificial Neural Networks. The performance comparison is done in terms of accuracy of position classification and precision of distance classifier. The result of this study shows that PMLC can increase performance for indoor positioning of all classifiers when an appropriate number of clusters is assigned in the clustering process. In addition, PMLC is the most optimized model while having Decision Tree to be its classifier.","","Electronic:978-1-4799-2993-1; POD:978-1-4799-2994-8; USB:978-1-4799-2992-4","10.1109/ECTICon.2014.6839831","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6839831","indoor positioning;machine learning;wireless device","Accuracy;Artificial neural networks;Classification algorithms;Clustering algorithms;Decision trees;Fingerprint recognition;Machine learning algorithms","cascade systems;decision trees;indoor radio;learning (artificial intelligence);neural nets;optimisation;pattern classification;pattern clustering;radionavigation;signal classification;telecommunication computing","PMLC;artificial neural networks;classification task;clustering process;clustering task;decision tree classifier;distance classifier;fingerprinting indoor positioning;machine learning algorithms;naive Bayes classifier;optimized model;partitioning cascade machine learning models;partitioning machine learning classifier;position classification;signal strength","","1","","16","","","14-17 May 2014","","IEEE","IEEE Conference Publications"
"Detecting Stealthy False Data Injection Using Machine Learning in Smart Grid","M. Esmalifalak; L. Liu; N. Nguyen; R. Zheng; Z. Han","Department of Electrical and Computer Engineering, Cullen College of Engineering, University of Houston, Houston, TX 77004 USA.","IEEE Systems Journal","","2014","PP","99","1","9","Aging power industries, together with the increase in demand from industrial and residential customers, are the main incentive for policy makers to define a road map to the next-generation power system called the smart grid. In the smart grid, the overall monitoring costs will be decreased, but at the same time, the risk of cyber attacks might be increased. Recently, a new type of attacks (called the stealth attack) has been introduced, which cannot be detected by the traditional bad data detection using state estimation. In this paper, we show how normal operations of power networks can be statistically distinguished from the case under stealthy attacks. We propose two machine-learning-based techniques for stealthy attack detection. The first method utilizes supervised learning over labeled data and trains a distributed support vector machine (SVM). The design of the distributed SVM is based on the alternating direction method of multipliers, which offers provable optimality and convergence rate. The second method requires no training data and detects the deviation in measurements. In both methods, principal component analysis is used to reduce the dimensionality of the data to be processed, which leads to lower computation complexities. The results of the proposed detection methods on IEEE standard test systems demonstrate the effectiveness of both schemes.","1932-8184;19328184","","10.1109/JSYST.2014.2341597","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6880823","Anomaly detection;bad data detection (BDD);power system state estimation;support vector machines (SVMs)","","","","","2","","","","20140820","","","IEEE","IEEE Early Access Articles"
"Cost effective assessment of transformers using machine learning approach","K. Benhmed; K. B. Shaban; A. El-Hag","Res. Unit of Modeling, Anal. & Control of Syst, Nat. Eng. Sch. of Gabes, Gabes, Tunisia","2014 IEEE Innovative Smart Grid Technologies - Asia (ISGT ASIA)","20140811","2014","","","328","332","Furan content in transformer oil is highly correlated with the transformer insulation paper aging. In this paper, the ranges of furan content in power transformer is predicted using measurements of transformer oil tests like breakdown voltage, acidity and water content. Machine learning approach is adopted, and maintenance data collected from 90 transformers are used. A maximum of 67% recognition rate was achieved using Decision Tree classifier. The major challenge of the used data is the relatively low number of available samples in certain furan intervals. Two solutions have been proposed to overcome this imbalanced classification problem, namely, using an over-sampling technique and balancing data distributions by reducing the number of intervals to be predicted to three instead of five intervals. The recognition rate has improved to reach 80%.","2378-8534;23788534","Electronic:978-1-4799-1300-8; POD:978-1-4799-1298-8","10.1109/ISGT-Asia.2014.6873812","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6873812","Furan content;Power transformer;machine learning;transformer oil","Artificial neural networks;Asia;Data models;Decision trees;Oil insulation;Power transformer insulation","ageing;decision trees;learning (artificial intelligence);power engineering computing;power transformer insulation;transformer oil","balancing data distribution;decision tree classifier;furan content;furan interval;machine learning approach;over-sampling technique;power transformer oil measurement;recognition rate;transformer cost effective assessment;transformer insulation","","1","","11","","","20-23 May 2014","","IEEE","IEEE Conference Publications"
"Fast 2D to 3D conversion using a clustering-based hierarchical search in a machine learning framework","J. L. Herrera; C. R. del-Blanco; N. García","Grupo de Tratamiento de Imagenes, Univ. Politec. de Madrid, Madrid, Spain","2014 3DTV-Conference: The True Vision - Capture, Transmission and Display of 3D Video (3DTV-CON)","20140811","2014","","","1","4","Automatic 2D-to-3D conversion is an important application for filling the gap between the increasing number of 3D displays and the still scant 3D content. However, existing approaches have an excessive computational cost that complicates its practical application. In this paper, a fast automatic 2D-to-3D conversion technique is proposed, which uses a machine learning framework to infer the 3D structure of a query color image from a training database with color and depth images. Assuming that photometrically similar images have analogous 3D structures, a depth map is estimated by searching the most similar color images in the database, and fusing the corresponding depth maps. Large databases are desirable to achieve better results, but the computational cost also increases. A clustering-based hierarchical search using compact SURF descriptors to characterize images is proposed to drastically reduce search times. A significant computational time improvement has been obtained regarding other state-of-the-art approaches, maintaining the quality results.","2161-2021;21612021","Electronic:978-1-4799-4758-4; POD:978-1-4799-4757-7; USB:978-1-4799-4759-1","10.1109/3DTV.2014.6874736","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6874736","2D-to-3D conversion;3D inference;SURF descriptors;database clustering;fast conversion;hierarchical search;machine learning","Clustering algorithms;Color;Computational efficiency;Databases;Estimation;Image color analysis;Three-dimensional displays","content-based retrieval;feature extraction;image colour analysis;image convertors;image fusion;image retrieval;learning (artificial intelligence);pattern clustering;three-dimensional displays;visual databases","3D content;3D display;3D structure;analogous 3D structure;automatic 2D-to-3D conversion;clustering-based hierarchical search;compact SURF descriptor;depth images;depth map estimation;depth map fusion;machine learning;query color image;training database","","4","","7","","","2-4 July 2014","","IEEE","IEEE Conference Publications"
"Feature extraction, feature selection and machine learning for image classification: A case study","M. C. Popescu; L. M. Sasu","Fac. of Math. & Comput. Sci., Transilvania Univ. of Brasov, Brasov, Romania","2014 International Conference on Optimization of Electrical and Electronic Equipment (OPTIM)","20140710","2014","","","968","973","This paper presents feature extraction, feature selection and machine learning-based classification techniques for pollen recognition from images. The number of images is small compared both to the number of derived quantitative features and to the number of classes. The main subject is investigation of the effectiveness of 11 feature extraction/feature selection algorithms and of 12 machine learning-based classifiers. It is found that some of the specified feature extraction/selection algorithms and some of the classifiers exhibited consistent behavior for this dataset.","1842-0133;18420133","Electronic:978-1-4799-5183-3; POD:978-1-4799-5184-0","10.1109/OPTIM.2014.6850925","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6850925","","Accuracy;Feature extraction;Genetic algorithms;Niobium;Principal component analysis;Shape;Vegetation","feature extraction;image classification;learning (artificial intelligence)","classification techniques;feature extraction-selection algorithms;image classification;machine learning;pollen recognition;quantitative features","","1","","40","","","22-24 May 2014","","IEEE","IEEE Conference Publications"
"Semi-supervised machine learning approach for unknown malicious software detection","F. Bisio; P. Gastaldo; R. Zunino; S. Decherchi","DITEN, Univ. of Genoa, Genoa, Italy","2014 IEEE International Symposium on Innovations in Intelligent Systems and Applications (INISTA) Proceedings","20140811","2014","","","52","59","Inductive bias represents an important factor in learning theory, as it can shape the generalization properties of a learning machine. This paper shows that biased regularization can be used as inductive bias to effectively tackle the semi-supervised classification problem. Thus, semi-supervised learning is formalized as a supervised learning problem biased by an unsupervised reference solution. The proposed framework has been tested on a malware-detection problem. Experimental results confirmed the effectiveness of the semi-supervised methodology presented in this paper.","","CD-ROM:978-1-4799-3019-7; Electronic:978-1-4799-3020-3; POD:978-1-4799-3021-0","10.1109/INISTA.2014.6873597","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6873597","SVM;biased regularization;malware detection;semi-supervised","Kernel;Malware;Monitoring;Semisupervised learning;Support vector machines;Vectors","invasive software;learning (artificial intelligence);pattern classification","biased regularization;generalization properties;inductive bias;learning machine;learning theory;malicious software detection;semisupervised classification problem;semisupervised machine learning approach;unsupervised reference solution","","1","","28","","","23-25 June 2014","","IEEE","IEEE Conference Publications"
