"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=1432224,1414607,1432745,1431525,1431429,1431455,1414536,1431498,1431519,1432707,1421022,1433028,1414573,1431515,1432281,1414363,1414421,1414584,1431458,1432674,1428562,1428560,1429797,1428508,1428838,1430839,1428454,1428561,1428448,1428453,1428466,1429714,1428468,1430728,1428462,1430729,1416274,1415156,1415298,1415292,1416349,1415157,1427120,1415801,1415161,1416476,1427157,1427094,1415160,1415288,1416348,1415299,1415687,1416315,1415178,1415138,1416462,1416213,1427067,1415455,1242393,1315543,1423029,1315544,1214640,1415362,1214638,1422956,1363730,1257254,1415430,1415428,1415454,1373763,1315545,1415437,1425564,1415363,1242432,1424795,1415438,1415364,1415451,1344508,1415427,1415435,1415436,1409682,1423981,1423284,1424283,1423772,1423486,1423495,1423546,1409688,1423499,1424270,1424276,1423498",2017/05/04 21:47:42
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Next generation network 3 to 6 dimensional cluster communication architecture","A. A. Cohen","University of Bar-Ilan Israel","Proceedings of the 7th International Conference on Telecommunications, 2003. ConTEL 2003.","20050502","2003","1","","157","164","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01214640.png"" border=""0"">","","POD:953-184-052-0","10.1109/CONTEL.2003.176905","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1214640","","Clustering algorithms;Communication switching;Computer architecture;Computer networks;Computer science;Data communication;Global Positioning System;Information retrieval;Joining processes;Next generation networking","","","","0","","8","","","11-13 June 2003","","IEEE","IEEE Conference Publications"
"Object Recognition by Partial Shape Matching Guided Search","E. Saber; Yaowu Xu; A. M. Tekalp","Dept of Electr. Eng., Rochester Inst. of Technol., NY, USA","Proceedings. (ICASSP '05). IEEE International Conference on Acoustics, Speech, and Signal Processing, 2005.","20050502","2005","2","","145","148","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01415362.png"" border=""0"">","1520-6149;15206149","POD:0-7803-8874-7","10.1109/ICASSP.2005.1415362","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1415362","","Acceleration;Color;Educational institutions;Humans;Image retrieval;Information retrieval;Navigation;Object recognition;Shape;Tree graphs","image matching;image retrieval;learning by example;object recognition;query formulation;very large databases;video databases","2D object recognition;guided search;image retrieval;large image/video databases;learning by example;nonoccluded objects;partial matches;partial shape matching;partially occluded objects","","0","","5","","","March 18-23, 2005","","IEEE","IEEE Conference Publications"
"SQL Statement Template: a development approach for database-driven applications","O. M. Khaled; H. M. Hosny","American Univ. in Cairo, Egypt","Proceedings of the 2004 IEEE International Conference on Information Reuse and Integration, 2004. IRI 2004.","20050523","2004","","","12","17","Database-driven applications are some of the most widespread applications nowadays. It normally requires a good knowledge and experience in application development, database SQL, and may be some other fields to build a well-designed application. The inherited nature, which is common in most database-driven applications, is that SQL statements are considered to be part of the code. However, this technique, sometimes, leads to more development complexity and reduces the understandability of the code. In this paper we propose an SQL Statement Template. This template suggests a layer whereby SQL statements are externalized and defined in a uniform way. The template outcome is produced using a definition language, and clearly defined roles and responsibilities in the design and implementation phases.","","POD:0-7803-8819-4","10.1109/IRI.2004.1431429","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1431429","","Application software;Database languages;Database systems;Information retrieval;Navigation;Object oriented databases;Power system management;Prototypes;Publishing;Relational databases","SQL;relational databases;specification languages","SQL Statement Template;database-driven application;definition language","","0","1","4","","","8-10 Nov. 2004","","IEEE","IEEE Conference Publications"
"Design theoretic approach to replicated declustering","A. S. Tosun","Dept. of Comput. Sci., Texas Univ., San Antonio, TX, USA","International Conference on Information Technology: Coding and Computing (ITCC'05) - Volume II","20050516","2005","1","","226","231 Vol. 1","Declustering techniques reduce query response times through parallel I/O by distributing data among multiple devices. Most of the research on declustering is targeted at spatial range queries and investigates schemes with low additive error. Recently, declustering using replication is proposed to reduce the additive overhead. Replication significantly reduces retrieval cost of arbitrary queries. In this paper, we propose a disk allocation and retrieval mechanism for arbitrary queries based on design theory. Using proposed c-copy replicated declustering scheme, (c - 1)k<sup>2</sup> + ck buckets can be retrieved using at most k disk accesses. Retrieval algorithm is very efficient and is asymptotically optimal with Θ(|Q|) complexity for a query Q. In addition to the deterministic worst-case bound and efficient retrieval, proposed algorithm handles nonuniform data, high dimensions, supports incremental declustering and has good fault-tolerance property.","","POD:0-7695-2315-3","10.1109/ITCC.2005.124","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1428466","","Computer errors;Computer science;Costs;Data visualization;Delay;Fault tolerance;Information retrieval;Information systems;Spatial databases;Visual databases","computational complexity;database theory;fault tolerance;query processing;replicated databases;visual databases","c-copy replicated declustering;data distribution;design theory;deterministic worst-case bound;disk allocation;fault-tolerance;incremental declustering;nonuniform data;parallel I/O;query response time;retrieval algorithm;spatial range queries","","7","","20","","","4-6 April 2005","","IEEE","IEEE Conference Publications"
"Knowledge based generic model of intelligent networks and services","G. Nemeth","","Proceedings of the 7th International Conference on Telecommunications, 2003. ConTEL 2003.","20050502","2003","1","","151","155","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01214638.png"" border=""0"">","","POD:953-184-052-0","10.1109/CONTEL.2003.176904","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1214638","","Application software;Information processing;Information retrieval;Intelligent networks;Logic functions;Mobile agents;Next generation networking;Resource management;Switches;Telecommunication switching","","","","1","","10","","","11-13 June 2003","","IEEE","IEEE Conference Publications"
"Hierarchical ensemble learning for multimedia categorization and autoannotation","S. Koisnov; S. Marchand-Maillet","Comput. Vision & Multimedia Lab, Geneva Univ.","Proceedings of the 2004 14th IEEE Signal Processing Society Workshop Machine Learning for Signal Processing, 2004.","20050502","2004","","","645","654","This paper presents a hierarchical ensemble learning method applied in the context of multimedia autoannotation. In contrast to the standard multiple-category classification setting that assumes independent, non-overlapping and exhaustive set of categories, the proposed approach models explicitly the hierarchical relationships among target classes and estimates their relevance to a query as a trade-off between the goodness of fit to a given category description and its inherent uncertainty. The promising results of the empirical evaluation confirm the viability of the proposed approach, validated in comparison to several techniques of ensemble learning, as well as with different type of baseline classifiers","1551-2541;15512541","POD:0-7803-8608-4","10.1109/MLSP.2004.1423029","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1423029","","Computer vision;Gold;Indexing;Information retrieval;Large scale integration;Learning systems;Support vector machines;Terminology;Uncertainty;Vocabulary","information retrieval;learning systems;multimedia systems","hierarchical ensemble learning method;information retrieval;multimedia autoannotation;query","","0","","23","","","Sept. 29 2004-Oct. 1 2004","","IEEE","IEEE Conference Publications"
"Efficient Bayesian methods for updating and storing uncertain search information for UAVs","M. Flint; E. Fernandez; M. Polycarpou","Dept. of Electr. & Comput. Eng. & Comput. Sci., Cincinnati Univ., OH, USA","2004 43rd IEEE Conference on Decision and Control (CDC) (IEEE Cat. No.04CH37601)","20050516","2004","1","","1093","1098 Vol.1","Algorithms for the autonomous decision and control of unmanned aerial vehicles (UAV's) require access to accurate information about the state of the environment in order to perform well. However, this information is oftentimes uncertain and dynamically changing. An efficient method to store and retrieve this information in such circumstances is provided in this paper. Bayesian methods are used to take probabilistic information about reports of object detections and to incorporate this information into an information base, which includes probabilities of the location and probabilities for an object's existence. This allows for the discrimination of false/real objects, with the easy extension into false/real targets. The resulting process is suited for cooperative search by a team of UAVs.","0191-2216;01912216","POD:0-7803-8682-5","10.1109/CDC.2004.1428838","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1428838","","Bayesian methods;Collision avoidance;Computer science;Constraint theory;Information retrieval;Object detection;Search problems;Software agents;Software algorithms;Unmanned aerial vehicles","Bayes methods;aerospace robotics;cooperative systems;information retrieval;intelligent robots;military aircraft;multi-robot systems;object detection;probability;remotely operated vehicles;robot vision;statistical databases;time-varying systems;uncertain systems;visual databases","UAV;autonomous control;autonomous decision;cooperative search;dynamically changing environment information;efficient Bayesian methods;environment state;false object discrimination;false targets;information base;information storing;location probabilities;object detection reports;object existence probabilities;probabilistic information;real object discrimination;real targets;uncertain environment information;uncertain search information updating;unmanned aerial vehicles","","5","","17","","","17-17 Dec. 2004","","IEEE","IEEE Conference Publications"
"Improving music genre classification by short time feature integration","A. Meng; P. Ahrendt; J. Larsen","Informatics & Math. Modelling, Tech. Univ. Denmark, Lyngby, Denmark","Proceedings. (ICASSP '05). IEEE International Conference on Acoustics, Speech, and Signal Processing, 2005.","20050509","2005","5","","v/497","v/500 Vol. 5","Many different short-time features, using time windows of 10-30 ms, have been proposed for music segmentation, retrieval and genre classification. However, often the available time frame of the music to make the actual decision or comparison (the decision time horizon) is in the range of seconds instead of milliseconds. The problem of making new features on the larger time scale from the short-time features (feature integration) has received only little attention. The paper investigates different methods for feature integration and late information fusion for music genre classification. A new feature integration technique, the AR model, is proposed and seemingly outperforms the commonly used mean-variance features.","1520-6149;15206149","POD:0-7803-8874-7","10.1109/ICASSP.2005.1416349","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1416349","","Electronic mail;Frequency;Informatics;Mathematical model;Multiple signal classification;Music information retrieval;Principal component analysis;Testing;Voting;Windows","acoustic signal processing;audio signal processing;autoregressive processes;music;signal classification","10 to 30 ms;AR model;autoregressive model;decision time horizon;late information fusion;mean-variance features;music genre classification;music retrieval;music segmentation;short time feature integration","","10","1","15","","","18-23 March 2005","","IEEE","IEEE Conference Publications"
"Open Vocabulary ASR for Audiovisual Document Indexation","A. Allauzen; J. L. Gauvain","Spoken Language Process. Group, LIMSI-CNRS, Orsay, France","Proceedings. (ICASSP '05). IEEE International Conference on Acoustics, Speech, and Signal Processing, 2005.","20050509","2005","1","","1013","1016","<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/01415288.png"" border=""0"">","1520-6149;15206149","POD:0-7803-8874-7","10.1109/ICASSP.2005.1415288","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1415288","","Automatic speech recognition;Broadcasting;Content based retrieval;Data mining;Error analysis;Indexing;Information retrieval;Natural languages;Storage automation;Vocabulary","error statistics;learning (artificial intelligence);meta data;parameter estimation;probability;speech recognition;vocabulary","audiovisual document indexation;grapheme-to-phoneme conversion;language model training;n-gram probabilities;open vocabulary ASR;open vocabulary speech recognition;part-of-speech tagger;recognition vocabulary;vocabulary adaptation;word classes;word error rate","","9","1","9","","","March 18-23, 2005","","IEEE","IEEE Conference Publications"
"The interactive virtual space presentation system considering users background","T. Ishii; Y. Shibata","Graduate Sch. of Software & Inf. Sci., Iwate Prefectural Univ., Japan","19th International Conference on Advanced Information Networking and Applications (AINA'05) Volume 1 (AINA papers)","20050425","2005","1","","241","246 vol.1","In this paper, we propose an interactive virtual space presentation system for e-commerce or virtual museum by three dimensional objects which are correctly selected from the distributed multimedia database over Internet based on the user subjective information, such as user perceptual information and the objective information, such as his/her occupation, age, sex, nationality. XML is used to realize reusable data format and adaptive media object presentation based on user's background information as a multimedia data management. We present its system architecture, perceptual model for object retrieving and multimedia object management implemented by XML.","1550-445X;1550445X","POD:0-7695-2249-1","10.1109/AINA.2005.112","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1423499","","Computer architecture;Graphical user interfaces;High-speed networks;Information retrieval;Information science;Internet;Multimedia computing;Multimedia databases;Multimedia systems;XML","Internet;XML;distributed databases;electronic commerce;humanities;multimedia databases;virtual reality","Internet;XML;adaptive media object presentation;distributed multimedia database;e-commerce;interactive virtual space presentation system;multimedia data management;perceptual model;reusable data format;system architecture;three dimensional object;user subjective background information;virtual museum","","0","","9","","","28-30 March 2005","","IEEE","IEEE Conference Publications"
