"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=1521589,1521442,1521350,1521620,1521730,1521459,1521502,1521727,1521360,1521491,1521716,1521239,1521346,1521630,1521578,1521386,1521476,1521628,1521640,1521654,1517772,1521627,1521034,1517730,1521547,1521641,1522603,1522218,1522267,1521731,1521595,1521682,1521403,1521451,1521715,1520953,1521394,1517929,1517915,1517709,1517875,1517858,1517882,1517818,1517871,1517807,1517864,1517823,1517874,1517917,1517354,1517318,1509485,1517674,1517912,1517833,1517262,1517817,1517919,1517694,1517877,1517704,1517902,1517927,1517949,1517852,1517832,1517666,1517268,1517916,1519175,1517860,1517865,1517888,1517867,1515527,1515760,1047440,1516092,1514565,1512846,1511572,1511793,1511569,1512933,1513188,1509847,1508081,1043482,1510003,1512402,1507693,1509119,1508310,1509117,1509118,1508414,1508864,1508411,1508370",2017/05/04 21:45:50
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"An abstract content-based image retrieval system based on activity theory","M. W. Yucha; S. Sasi","Dept. of Comput. & Inf. Sci., Gannon Univ., PA, USA","PACRIM. 2005 IEEE Pacific Rim Conference on Communications, Computers and signal Processing, 2005.","20051017","2005","","","574","577","Traditional methods of image retrieval require that meta-data is associated with the image, commonly known as keywords. These methods power many World Wide Web search engines and accomplish reasonable amounts of search accuracy. Though some content based image retrieval (CBIR) systems use both semantic and primitive attributes to match search criteria, history has proven that it is difficult to extract linguistic information from a 2D image. In this research, activity theory is used as a base to demonstrate how semantic information can be retrieved from objects identified in an image. Using an image segmentation technique by The Berkeley Digital Library Project (Blobworld), and combining it with object-to-community relationships, a high-level understanding of the image can be demonstrated.","1555-5798;15555798","POD:0-7803-9195-0","10.1109/PACRIM.2005.1517354","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1517354","","Content based retrieval;Data mining;History;Humans;Image retrieval;Image segmentation;Information retrieval;Object recognition;Search engines;Web sites","content-based retrieval;image retrieval;image segmentation","abstract content-based image retrieval system;activity theory;image segmentation technique;meta-data;semantic information","","0","","5","","","24-26 Aug. 2005","","IEEE","IEEE Conference Publications"
"A ubiquitous photo mapping considering users' lines of sight","H. Fujita; M. Arikawa","Center for Spatial Inf. Sci., Tokyo Univ., Japan","International Workshop on Ubiquitous Data Management","20051024","2005","","","71","77","This paper proposes a new framework for mapping and retrieving photographs, maps and cyberspaces to each other. Our target photographs are enhanced with spatial metadata such as geographic coordinates where they were taken and directions where they focused on. We assume photographs having such spatial metadata become popular. In a common framework, such photographs are mapped to their viewpoints by using their location information generated by GPS. We think this framework has less function for practical spatial queries. For example, even if a photograph is mapped to a certain point on a map, a scene of the point may not be shown in the photograph. It may show a different direction than user wants to see. A problem is that though locations or objects shown in photographs are important for users, viewpoints are not positions of them but positions of cameras from which photographs were taken. We therefore map each photograph to a vector from its viewpoint to its gazing point, and named the vector as photo vector. A prototype system based on our framework provides functions such as handling advanced spatial queries for retrieving photographs, visualizing how many photographs show each location, and mapping text labels having URLs and geographic coordinates to the appropriate positions on photographs. In this framework, photographs, maps and cyberspaces are mapped to each other.","","POD:0-7695-2411-7","10.1109/UDM.2005.2","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1521239","","Cameras;Data structures;Data visualization;Global Positioning System;Image storage;Information retrieval;Information science;Layout;Prototypes;Uniform resource locators","data visualisation;geographic information systems;image retrieval;meta data;ubiquitous computing;visual databases","GPS;URL;cyberspace;data visualization;geographic coordinates;location information;maps;photo vector;photograph retrieval;spatial metadata;spatial queries;ubiquitous photo mapping;user lines of sight","","1","","4","","","4 April 2005","","IEEE","IEEE Conference Publications"
"Effect of segmentation method on video retrieval performance","D. Grangier; A. Vinciarelli","IDIAP Res. Inst., Martigny, Switzerland","2005 IEEE International Conference on Multimedia and Expo","20051024","2005","","","4 pp.","","This paper presents experiments that evaluate the effect of different video segmentation methods on text-based video retrieval. Segmentations relying on modalities like speech, video and text or their combination are compared with a baseline sliding window segmentation. The results suggest that even with the sliding window segmentation, acceptable performance can be obtained on a broadcast news retrieval task. Moreover, in the case where manually segmented data are available for training, the approach combining the different modalities can lead to IR results close to those obtained with a manual segmentation.","1945-7871;19457871","POD:0-7803-9331-7","10.1109/ICME.2005.1521346","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1521346","","Broadcasting;Data mining;Gunshot detection systems;Information retrieval;Multimedia communication;Multimedia databases;Optical recording;Speech;Video recording;Videoconference","content-based retrieval;image segmentation;text analysis;video retrieval","broadcast news retrieval;data segmentation;sliding window segmentation;text-based video retrieval;video segmentation method","","1","","11","","","6-8 July 2005","","IEEE","IEEE Conference Publications"
"Sports Event Recognition Using Layered HMMS","M. Barnard; J. M. Odobez","IDIAP Research Institute Rue du Simplon 4 Martigny Switzerland","2005 IEEE International Conference on Multimedia and Expo","20051024","2005","","","1150","1153","The recognition of events in video data is a subject of much current interest. In this paper, we address several issues related to this topic. The first one is overfitting when very large feature spaces are used and relatively small amounts of training data are available. The second is the use of a framework that can recognise events at different time scales, as standard hidden Markov model (HMM) do not model well long-term term temporal dependencies in the data. In this paper we propose a method combining layered HMMs and an unsupervised low level clustering of the features to address these issues. Experiments conducted on the recognition task of different events in 7 rugby games demonstrates the potential of our approach with respect to standard HMM techniques coupled with a feature size reduction technique. While the current focus of this work is on events in sports videos, we believe the techniques shown here are general enough to be applied to other sources of data","1945-7871;19457871","POD:0-7803-9331-7","10.1109/ICME.2005.1521630","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1521630","","Broadcasting;Data mining;Feature extraction;Games;Hidden Markov models;Information retrieval;Multimedia communication;Speech recognition;Training data;Video surveillance","feature extraction;hidden Markov models;image recognition;pattern clustering;sport;unsupervised learning;video signal processing","event recognition;feature size reduction technique;hidden Markov model;layered HMM;sports video;unsupervised low level clustering;video data","","7","","14","","","6-6 July 2005","","IEEE","IEEE Conference Publications"
"Global convergence of phase retrieval by quadratic approach","F. Soldovieri; A. Liseno; G. D'Elia; R. Pierri","Consiglio Nazionale delle Ricerche, Inst. per il Rilevamento Elettromagnetico dell'Ambiente, Napoli, Italy","IEEE Transactions on Antennas and Propagation","20051003","2005","53","10","3135","3141","The reliability of two different implementations of a quadratic phase retrieval approach to the problem of determining the far field of a radiating system from only square amplitude information on the near field zone is studied. The first implementation exploits square amplitude data over two scanning surfaces. The second one exploits the square amplitude of the voltages received by two different probes moving over a single scanning surface. It is pointed out how the diversity between the two scanning surface data or the two probes gives rise to ""cancellation effects"" which help in avoiding the local minima problem. Numerical examples are shown to discuss the global convergence properties of the two algorithms.","0018-926X;0018926X","","10.1109/TAP.2005.856363","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1514565","Antenna diagnostics;near-field/far-field transformation;phase retrieval","Antenna measurements;Convergence of numerical methods;Crystallography;Electron microscopy;Helium;Information retrieval;Iterative algorithms;Phase measurement;Probes;Voltage","antenna radiation patterns;antenna theory;convergence of numerical methods;reliability theory","antenna diagnostics;cancellation effect;diversity;far field radiating system;global convergence property;quadratic phase retrieval approach;reliability;scanning surface;square amplitude information","","16","","18","","","Oct. 2005","","IEEE","IEEE Journals & Magazines"
"Audio-based gender identification using bootstrapping","G. Tzanetakis","Dept. of Comput. Sci., Victoria Univ., BC, Canada","PACRIM. 2005 IEEE Pacific Rim Conference on Communications, Computers and signal Processing, 2005.","20051017","2005","","","432","433","Annotation of audio content is an important component of modern multimedia information retrieval systems. Automatic gender identification is used for video indexing and can improve speech recognition results by using gender-specific classifiers. Gender identification in large datasets is difficult because of the large variability in speaker characteristics. Bootstrapping is an approach that attempts to combine minimal user annotations with automatic techniques for audio classification. In bootstrapping a small random sampling of the training data is annotated by the user and this annotation is used to train a classifier that annotates the remaining data. This technique is useful when the training set is too large to be fully annotated by the user. Experimental results showing that bootstrapping is effective for automatic audio-based gender identification are provided.","1555-5798;15555798","POD:0-7803-9195-0","10.1109/PACRIM.2005.1517318","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1517318","","Bandwidth;Broadcasting;Computer science;Content based retrieval;Information retrieval;Multimedia communication;Multimedia systems;Sampling methods;Speech;Training data","audio databases;computer bootstrapping;speech recognition","audio classification;automatic audio-based gender identification;bootstrapping;minimal user annotations;multimedia information retrieval systems;speaker characteristics;speech recognition;video indexing","","5","1","6","","","24-26 Aug. 2005","","IEEE","IEEE Conference Publications"
"Flexible and exploratory learning by polyscopic topic maps","D. Karabeg; R. Guescini; T. W. Nordeng","Dept. for Informatics, Oslo Univ., Blindern, Norway","Fifth IEEE International Conference on Advanced Learning Technologies (ICALT'05)","20050919","2005","","","946","947","Flexible and active education calls for a comprehensive restructuring of the traditional university course format. Such restructuring can be done in a natural and coherent way by implementing topic maps in e-learning. In this paper we describe polyscopic topic maps, an information structuring method which is being developed by the authors, a university course model called Flexplearn which is based on this approach, and a prototype Flexplearn course where our model is currently being implemented, used and tested. We also describe BrainBank learning, a topic map-driven application, for learning of concepts and concept relations that we are implementing with Flexplearn.","2161-3761;21613761","POD:0-7695-2338-2","10.1109/ICALT.2005.155","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1508864","","Electronic learning;Informatics;Information retrieval;Internet;Navigation;Organizing;Prototypes;Semantic Web;Switches;Testing","computer aided instruction;educational courses;information retrieval;semantic Web","BrainBank learning;Flexplearn course;active education;concept learning;concept relations;e-learning;exploratory learning;information navigation;information organization;information retrieval;information structuring;polyscopic topic maps;semantic Web;topic map-driven application;university course format restructuring","","1","","8","","","5-8 July 2005","","IEEE","IEEE Conference Publications"
"Part-Based Shape Retrieval with Relevance Feedback","M. Tanase; R. C. Veltkamp","Department of Information and Computing Sciences Utrecht University, The Netherlands","2005 IEEE International Conference on Multimedia and Expo","20051024","2005","","","936","939","We introduce a relevance feedback mechanism for part-based shape retrieval. The database polygons are decomposed but the query polygon is not. In an initial search in the database, the database polygon parts are matched against the query polygon. The best matches are shown to the user, who has to decide which are relevant to its query. In successive iterations, the system infers which parts of the query are of interest, and makes a search with those parts only.","1945-7871;19457871","POD:0-7803-9331-7","10.1109/ICME.2005.1521578","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1521578","","Delay;Feedback;Image databases;Image retrieval;Information retrieval;Query processing;Shape;Spatial databases;Testing","","","","2","","9","","","6-8 July 2005","","IEEE","IEEE Conference Publications"
"XML path based relevance model for automatic image annotation","M. Rege; M. Dong; F. Fotouhi","Dept. of Comput. Sci., Wayne State Univ., Detroit, MI, USA","2005 IEEE International Conference on Multimedia and Expo","20051024","2005","","","4 pp.","","This is the first paper that proposes automatic image annotation using the semantics of XML. In this paper, we propose XPRM-XML path based relevance model for automatic image annotation. Our experimental results show that the proposed model has considerable advantage over single word annotations in performing automatic semantic annotation.","1945-7871;19457871","POD:0-7803-9331-7","10.1109/ICME.2005.1521386","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1521386","","Computer science;Content based retrieval;Data mining;Feature extraction;Image databases;Image retrieval;Information retrieval;Joining processes;Ontologies;XML","XML;image retrieval;programming language semantics;relevance feedback","XML path based relevance model;XPRM;automatic image annotation;automatic semantic annotation","","0","","8","","","6-8 July 2005","","IEEE","IEEE Conference Publications"
"Extracting vocal melody from karaoke music audio","Y. Zhu; S. Gao","Inst. for Infocomm Res., A-STAR, Singapore, Singapore","2005 IEEE International Conference on Multimedia and Expo","20051024","2005","","","4 pp.","","Extracting the melody from polyphonic musical audio is a nontrivial research problem. This paper presents an approach for vocal melody extraction from dual channel Karaoke music audio. The extracted melody corresponds to the singing voice in the original performance channel, which can then be used for melody-based music retrieval. In the proposed technique, audio signals from both the accompaniment channel and the original performance channel are analyzed. The note partials are firstly extracted from the signal, which is represented in constant-Q transform frequency domain. Then the volume balance between the two channels is estimated based on signal approximation in the sub-bands. Finally, the pitch corresponding to the singing voice is identified based on the note partial differences between the two channels. The extracted melody is represented as a sequence of pitch values. This technique assumes that the two channels have similar accompaniment instrument performance except for the singing voices. Experimental result on 40 Karaoke music audios has shown the performance of the proposed technique. The pitch extraction rate is above 70% and melody retrieval accuracy in an 800-tune-database is 90%.","1945-7871;19457871","POD:0-7803-9331-7","10.1109/ICME.2005.1521620","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1521620","","DVD;Data mining;Frequency domain analysis;Indexing;Instruments;Multiple signal classification;Music information retrieval;Performance analysis;Signal analysis;Signal processing","audio signal processing;electronic music;feature extraction;frequency-domain analysis;information retrieval;music;transforms","audio signal;constant-Q transform;dual channel Karaoke system;frequency domain analysis;melody-based music retrieval;pitch extraction rate;polyphonic music audio;subband signal approximation;vocal melody extraction","","1","","7","","","6-8 July 2005","","IEEE","IEEE Conference Publications"
