"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=6077062,5611550,6076417,6076426,6078253,6076596,6078293,6076933,6072069,6072786,6075208,6009198,6066321,6065454,6065529,6069383,6066419,6068431,6065359,6068826,6064661,6065488,6065248,6065397,6065400,6065627,6065047,6066622,6065522,6065387,6068430,6067772,6065502,6065110,6065411,6065370,6063200,6064628,6063320,6063461,6064521,6053684,6063568,6062902,6062558,6062105,6061352,6061371,6061439,6062130,6061442,6061385,6060219,6061173,6061430,6061051,6061355,6061441,6061429,6061270,6061227,6061405,6060016,6061239,6060460,6061426,6061331,6061013,6061660,6060036,5732679,5731197,6057171,6056756,6057635,6058945,6056891,6056769,6057588,6056857,6047854,6048448,5416713,6047863,6052067,6049032,6050896,6049920,6051734,6048471,6051739,6047081,6047218,6045955,6046948,5661858,6046987,6031132,6047100,6045098",2017/05/04 22:29:57
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Modeling the behavior of large scale reasoning systems using clustering and regression","R. Brehar; I. Giosan; A. Vatavu; M. Negru; S. Nedevschi","Computer Science Department, Technical University of Cluj-Napoca, Romania","2011 IEEE 7th International Conference on Intelligent Computer Communication and Processing","20111020","2011","","","163","169","Modeling the performance of large scale systems is the core idea of this paper.We focus on modeling the performance specific behavior of LarKC<sup>1</sup>- The Large Knowledge Collider a platform for large scale integrated reasoning and Web-search. A set of instrumentation and monitoring tools are employed to collect metrics related to execution time, resources, and specific platform measurements like running workflows and plug-ins. Our method performs machine learning on top of instrumented data and tries to find relations between input defined metrics and output metrics that describe the instrumentation observations of the LarKC platform, plug-ins or workflows. The proposed method is a combination of clustering and regression techniques.","","Electronic:978-1-4577-1481-8; POD:978-1-4577-1479-5","10.1109/ICCP.2011.6047863","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6047863","","Cognition;Computational modeling;Instruments;Mathematical model;Measurement;Numerical models;Predictive models","Internet;inference mechanisms;information retrieval;knowledge management;pattern clustering;regression analysis","LarKC;Web-search;clustering technique;large knowledge collider;large scale integrated reasoning system;machine learning;plug-ins;regression technique","","0","","11","","","25-27 Aug. 2011","","IEEE","IEEE Conference Publications"
"Intelligent selective perception of visual information in vision systems","V. Boyun","V.M. Glushkov Institute of Cybernetics, National Academy of Science of Ukraine","Proceedings of the 6th IEEE International Conference on Intelligent Data Acquisition and Advanced Computing Systems","20111110","2011","1","","412","416","An intelligent selective perception of visual information has been considered. It takes into consideration such structural peculiarities of visual analyzer construction as wide field of view with a low resolution ability of peripheral retina and sharp central vision in a fovea, mechanisms of attention and adaptation and different types of eye movement.","","Electronic:978-1-4577-1425-2; POD:978-1-4577-1426-9","10.1109/IDAACS.2011.6072786","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6072786","attention mechanism;intelligent perception;parameter operation of visual information extraction;selectivity;vision system;visual information","Artificial intelligence;Brightness;Cameras;Entropy;Machine vision;Sensors;Visualization","eye;image resolution;information retrieval;iris recognition;visual perception","eye movement;fovea;intelligent selective perception;peripheral retina;resolution ability;sharp central vision;vision system;visual analyzer construction;visual information","","1","","7","","","15-17 Sept. 2011","","IEEE","IEEE Conference Publications"
"A Hidden Topic-Based Framework toward Building Applications with Short Web Documents","X. H. Phan; C. T. Nguyen; D. T. Le; L. M. Nguyen; S. Horiguchi; Q. T. Ha","Tohoku University, Sendai","IEEE Transactions on Knowledge and Data Engineering","20111020","2011","23","7","961","976","This paper introduces a hidden topic-based framework for processing short and sparse documents (e.g., search result snippets, product descriptions, book/movie summaries, and advertising messages) on the Web. The framework focuses on solving two main challenges posed by these kinds of documents: 1) data sparseness and 2) synonyms/homonyms. The former leads to the lack of shared words and contexts among documents while the latter are big linguistic obstacles in natural language processing (NLP) and information retrieval (IR). The underlying idea of the framework is that common hidden topics discovered from large external data sets (universal data sets), when included, can make short documents less sparse and more topic-oriented. Furthermore, hidden topics from universal data sets help handle unseen data better. The proposed framework can also be applied for different natural languages and data domains. We carefully evaluated the framework by carrying out two experiments for two important online applications (Web search result classification and matching/ranking for contextual advertising) with large-scale universal data sets and we achieved significant results.","1041-4347;10414347","","10.1109/TKDE.2010.27","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5416713","Web mining;classification;contextual advertising.;hidden topic analysis;matching;ranking;sparse data","Advertising;Data mining;Information security;Natural language processing;Predictive models;Text processing;Web search","Internet;advertising;document handling;information retrieval;natural language processing","advertising messages;data sparseness;hidden topic based framework;information retrieval;natural language processing;product descriptions;search result snippets;short Web documents;sparse documents","","23","","42","","20100218","July 2011","","IEEE","IEEE Journals & Magazines"
"The study and design on secure-cloud storage system","L. Hao; D. Han","Department of Computer, Xingyang Agricultural College, Xingyang, Henan, China","2011 International Conference on Electrical and Control Engineering","20111024","2011","","","5126","5129","For the security issue in cloud storage systems, we design a cloud security storage system (for short CSSS). Firstly, The CSSS integrates information isolation, accessing control, virus detection, metadata safeguard of crucial data and fast-speed retrieval; Secondly, with the help of connect control interface, the authorized users can safely access the data in the CSSS . This system can provide a solid foundation for data protection and multilevel storage in private enterprise cloud. The result on trial displays that this system can ensure the data security in cloud storage system, with few side effects on the I/O performance of the network.","","DVD:978-1-4244-8164-4; Electronic:978-1-4244-8165-1; POD:978-1-4244-8162-0","10.1109/ICECENG.2011.6057171","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6057171","Cloud controler;Cloud storage security;Metadata safeguard of crucial data;distributed file system","Access control;Authentication;Cloud computing;Distributed databases;Secure storage;Servers","authorisation;cloud computing;computer viruses;digital storage;information retrieval;meta data;performance evaluation","CSSS;IO network performance;accessing control;cloud security storage system;cloud storage systems;connect control interface;crucial data;data protection;data security;fast-speed retrieval;information isolation;metadata safeguard;multilevel storage;private enterprise cloud;secure-cloud storage system design;security issue;virus detection","","4","1","6","","","16-18 Sept. 2011","","IEEE","IEEE Conference Publications"
"Research on an Intelligence Q/A Expert System Based on the Bayesian Reasoning Mechanism","X. Pan","Guangxi Econ. Manage. Cadre Coll., Nanning, China","2011 Second International Conference on Digital Manufacturing & Automation","20111020","2011","","","944","947","With the development of network education, the online question/answering (Q/A) system plays more and more important role. The traditional Q/A system need the teachers to answer questions, which is low efficient. This paper introduces a model of an intelligence Q/A system which is based on the expert system theory. And it analyzes how to construct the knowledge database, third it researches on the Bayesian reasoning mechanism. In a certain extent, the extensibility and the intelligence to the system are greatly enhanced.","","Electronic:978-0-7695-4455-7; POD:978-1-4577-0755-1","10.1109/ICDMA.2011.234","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6052067","intelLigence Q/A expert system;reasoning mechanism;rule-based knowledge database","Arrays;Bayesian methods;Cognition;Databases;Expert systems;Knowledge engineering","belief networks;computer aided instruction;expert systems;inference mechanisms;question answering (information retrieval);teaching","Bayesian reasoning mechanism;intelligence Q/A expert system;knowledge database;network education;online question-answering system;teachers","","0","","10","","","5-7 Aug. 2011","","IEEE","IEEE Conference Publications"
"Mapping the scientific heritage of professor B. L. Kashcheyev","T. B. Grishchenko; N. Y. Etenko; O. M. Nikitenko","Kharkiv Nat. Univ. of Radioelectron., Kharkiv, Ukraine","2011 21st International Crimean Conference "Microwave & Telecommunication Technology"","20111103","2011","","","106","107","This report presents a joint digital project of KHNURE departments for creation of a memorial archive dedicated to a scientist of worldwide reputation. Open-access electronic archives for scientists become increasingly important in the modern scientific communications. In memory of Prof. B. L. Kashcheyev and in honour of his 90<sup>th</sup> anniversary a project of the memorial archive electronic version was developed. This is the joint project of several university departments: the Scientific Library, the REF Department, STL Radio Astronomy, Geophysics and Distance Sounding and the University Museum. The most works of the scientist were published in 1960-1980s', but they are of vital importance for the modern science. Some of his papers were found in the Kharkiv libraries holdings, some of them are kept in the Museum of KhNURe.","","Electronic:978-966-335-357-9; POD:978-1-4577-0883-1","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6068826","","Educational institutions;Electronic mail;Geophysics;Joints;Libraries;Radio astronomy;Transform coding","humanities;information retrieval systems;scientific information systems","Geophysics and Distance Sounding;KHNURE departments;KhNURe museum;Kharkiv libraries;REF department;STL radio astronomy;University Museum;joint digital project;memorial archive electronic version;open-access electronic archives;professor B. L. Kashcheyev;scientific communications;scientific heritage mapping;scientific library","","0","","","","","12-16 Sept. 2011","","IEEE","IEEE Conference Publications"
"Decision Support for Patient Consent Management","Q. Wang; H. Jin","IBM Almaden Res. Center, San Jose, CA, USA","2011 IEEE First International Conference on Healthcare Informatics, Imaging and Systems Biology","20111027","2011","","","142","149","Patients are given more and more control on the access to their medical information. In many situations, the regulation rules require the acquisition of patients' consent before one can access the patients' medical information. However, in practice, patients oftentimes have difficulties determining whether they should permit a certain access request. In this article, we propose a quantitative approach to assist patients in consent management of their medical information. Our system evaluates access requests based on three factors (importance, sensitivity, normalcy) and makes personalized suggestion to patients. Our design is capable to handle requests in different categories. In situations where patients expect their data to be accessible to the requesters, our solution will make the consent management task effortless for patients. In less critical usage scenarios, our solution will recommend an informed decision by comparing risks and benefits associated with data access. Furthermore, our solution intends to enable patients to review past access activities periodically and can automatically detect potential over-accessing activities from various parties. We have implemented a prototype of our solution and performed simulations on real-world medical history records. We hope our work lays some technical ground for policy makers to derive best practices for health care organizations and enable enforcements of compliance laws such as HIPAA.","","Electronic:978-0-7695-4407-6; POD:978-1-4577-0325-6","10.1109/HISB.2011.22","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6061385","access control;consent management;privacy","Dentistry;Hospitals;Knowledge based systems;Privacy;Security;Sensitivity","cost-benefit analysis;decision support systems;information retrieval;medical administrative data processing;medical computing","HIPAA;access request;data access;decision support;importance;normalcy;patient medical information consent management;patients medical information access;quantitative approach;risk-benefit comparison;sensitivity","","0","","13","","","26-29 July 2011","","IEEE","IEEE Conference Publications"
"Innovative data mining techniques in support of GEOSS: A workshop's findings","R. King; N. Younan; M. Datcu; I. Nedelcu","Mississippi State University","2011 2nd International Conference on Space Technology","20111103","2011","","","1","4","It is envisaged that the Global Earth Observation System of Systems (GEOSS) will provide data streams to decision-support tools for a wide variety of users and applications. As with the Internet, GEOSS will be a global and flexible network of content providers facilitating decision makers' access to an extraordinary range of information products at their desk. However, the challenge for the global users community is to have access to fast and reliable tools to process the data streams into actionable information. On August 31 - September 2, 2009 a workshop was held in Sinaia, Romania to discuss the current state-of-the-art in data mining tools and technologies for Earth Observation (EO) data by a group of international experts. The intent of the workshop was to lead to an understanding of and an objective assessment of the world's practice in extracting information from Earth Observation data and in developing a strategic plan for advancing the tools, as well as important open issues. This paper summarizes some of the major findings and recommendations resulting from this workshop.","","Electronic:978-1-4577-1873-1; POD:978-1-4577-1874-8","10.1109/ICSpT.2011.6064661","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064661","","","Internet;data mining;decision making;decision support systems;information retrieval","GEOSS;Global Earth Observation System of System;Internet;Romania;Sinaia;data access;data stream;decision maker;decision support tool;global user community;information products;innovative data mining technique","","1","","6","","","15-17 Sept. 2011","","IEEE","IEEE Conference Publications"
"Trial integration of agricultural field sensing data","T. Kiura; K. Tanaka; M. Omine; T. Yoshida","National Agriculture and Food Research Organization, Ibaraki, Japan","SICE Annual Conference 2011","20111027","2011","","","1595","1598","MetBroker, virtually integrates meteorological data from different sources and access methods, was extended a web ontology (metbroker.owl) to provide flexible data retrieval at the primary stage, and then to utilize the OWL for data integration itself. As the first trial, we used MetBroker to integrate meteorological data part from the field sensing data by Field Servers, and found that we successfully integrate Field Server data with other meteorological data. We expected that we can integrate meteorological data from other field sensing data sources to MetBroker. But we found that there is no OWL for other data obtained from field sensing data and observation data. To solve this issue, we start the second trial integration, to identify the relationships between terms used in metadata, create an extended XML schema for data exchange based on existed standard. The details of our trials are described.","pending","DVD:978-1-907764-38-7; Electronic:978-4-907764-39-5; POD:978-1-4577-0714-8","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6060219","Field Server;MetBroker;Semantic MediaWiki;metadata;web ontology","Agriculture;Frequency selective surfaces;Meteorology;Semantics;Servers;Temperature sensors","Internet;XML;agricultural engineering;electronic data interchange;information retrieval;knowledge representation languages;meta data;meteorology;ontologies (artificial intelligence)","MetBroker;OWL;Web ontology;XML schema;agricultural field sensing data;data exchange;data integration;field sensing data;field server;flexible data retrieval;metadata;meteorological data;observation data","","0","","15","","","13-18 Sept. 2011","","IEEE","IEEE Conference Publications"
"Strategies to Disrupt Online Child Pornography Networks","K. Joffres; M. Bouchard; R. Frank; B. Westlake","Int. Cybercrime Res. Centre, Simon Fraser Univ., Burnaby, BC, Canada","2011 European Intelligence and Security Informatics Conference","20111027","2011","","","163","170","This paper seeks to determine which attack strategies (hub, bridge, or fragmentation) are most effective at disrupting two online child pornography networks in terms of outcome measures that include density, clustering, compactness, and average path length. For this purpose, two networks were extracted using a web-crawler that recursively follows child exploitation sites. It was found that different attack strategies were warranted depending on the outcome measure and the network structure. Overall, hub attacks were most effective at reducing network density and clustering, whereas fragmentation attacks were most effective at reducing the network's distance-based cohesion and average path length. In certain cases, bridge attacks were almost as effective as some of these measures.","","Electronic:978-0-7695-4406-9; POD:978-1-4577-1464-1","10.1109/EISIC.2011.32","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6061173","Child exploitation;Internet;Network disruption;Social network analysis","Bridges;Density measurement;Internet;Law enforcement;Length measurement;Materials;Videos","information retrieval;security of data;social aspects of automation;social networking (online)","Web-crawler;attack strategies;average path length;bridge attacks;child exploitation sites;distance-based cohesion;fragmentation attacks;hub attacks;network density;network structure;online child pornography network disruption;online child pornography networks","","6","","32","","","12-14 Sept. 2011","","IEEE","IEEE Conference Publications"
