"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=7866798,7868467,7866805,7869276,7558221,7534865,7868439,7868389,7868124,7867014,7868462,7868377,7868359,7868153,7868485,7867869,7779151,7867799,7863251,7863293,7863130,7863040,7863744,7863750,7863065,7863269,7863299,7864451,7864437,7862015,7862074,7862014,7861163,7862090,7861654,7862097,7862874,7859910,7860492,7861165,7447705,7859947,7860358,7862098,7860343,7860248,7859473,7857933,7859414,7859276,7857948,7856640,7857591,7856308,7854061,7852664,7853831,7856775,7856145,7853706,7857607,7853803,7854066,7855929,7857726,7856498,7856139,7856320,7853940,7856770,7853039,7471450,7855904,7492185,7856802,7854063,7857151,7853906,7475937,7850030,7776805,7849428,7851146,7850063,7850097,7852360,7849997,7851527,7850181,7852301,7849406,7844186,7848760,7847171,7844241,7844801,7847950,7845057,7846290,7848657",2017/05/05 21:37:52
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"A new approach on prediction of fever disease by using a combination of Dempster Shafer and Naïve bayes","Y. Mulyani; E. F. Rahman; Herbert; L. S. Riza","Department of Computer Science Education, Universitas Pendidikan Indonesia, Bandung, Indonesia","2016 2nd International Conference on Science in Information Technology (ICSITech)","20170216","2016","","","367","371","Health is an important aspect of human life. Symptom of fever is one of the symptoms that can interfere with human health. The symptoms are common in human, but for handling errors sometimes occur diagnosis that can lead to death. Such errors can occur due to lack of expertise or reluctance of patients to check themselves since the symptom fever is common. By considering the issues, we conduct a study to design an application that can help patients with the fever symptom. The research was conducted by combining two following concepts: expert systems (i.e., Dempster Shafer) and machine learning (i.e., Naïve bayes). By combining the methods, we can obtain a single solution considering knowledge formulated by human experts and extracted from data training. Moreover, the application is implemented by an R package connecting R language with PHP, which is RShinny. A case study was taken by using medical records from the hospital Muhammadiyah, Bandung, West Java, Indonesia. To determine the level of accuracy of the system, we carried out two experimental stages, namely the fitting and testing steps. For the fitting step, we obtained the accuracy of 70.67 percent while 56.25 percent is the accuracy of the testing stage.","","Electronic:978-1-5090-1721-8; POD:978-1-5090-1722-5; USB:978-1-5090-1720-1","10.1109/ICSITech.2016.7852664","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7852664","Dempster Shafer;Naive Bayes;expert systems;machine learning;medical informatics","Diseases;Expert systems;Flowcharts;Heating;Hospitals;Information technology;Medical diagnostic imaging","Bayes methods;diseases;expert systems;hospitals;learning (artificial intelligence);medical information systems;uncertainty handling","Bandung;Dempster Shafer;Indonesia;Naïve bayes;PHP;R language;R package;RShinny;West Java;data training;expert systems;fever disease prediction;fever symptom;hospital Muhammadiyah;human experts;human health;human life;machine learning;medical records","","","","","","","26-27 Oct. 2016","","IEEE","IEEE Conference Publications"
"Online Prediction via Continuous Artificial Prediction Markets","F. Jahedpari; T. Rahwan; S. Hashemi; T. P. Michalak; M. De Vos; J. Padget; W. L. Woon","University of Bath","IEEE Intelligent Systems","20170213","2017","32","1","61","68","Prediction markets are well-established tools for aggregating information from diverse sources into accurate forecasts. Their success has been demonstrated in a wide range applications, including presidential campaigns, sporting events, and economic outcomes. Recently, they've been introduced to the machine learning community in the form of artificial prediction markets, in which algorithms trade contracts reflecting their levels of confidence. To date, these markets have mostly been studied in the context of offline classification, with promising results. The authors extend them to enable their use in online regression and introduce adaptive trading strategies informed by individual trading history and the ability of participants to revise their predictions by reflecting on the wisdom of the crowd, which is manifested in the collective performance of the market. The authors empirically evaluate their model using multiple datasets and show that it outperforms several well-established techniques from the literature on online regression.","1541-1672;15411672","","10.1109/MIS.2017.12","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7851146","intelligent systems;learning (artificial intelligence);machine learning;multiagent systems;prediction algorithms;supervised learning","Aggregates;Economics;Investments;Market research;Mathematical model;Prediction algorithms;Predictive models","learning (artificial intelligence);pattern classification;regression analysis;securities trading","adaptive trading strategies;continuous artificial prediction markets;information aggregation;machine learning community;offline classification;online prediction;online regression","","","","","","","Jan.-Feb. 2017","","IEEE","IEEE Journals & Magazines"
"Individual difference for HCI systems: Examining the probability of thinking style signature in online interaction","I. R. Adeyemi; S. A. Razak; M. Salleh","Universiti Teknologi Malaysia, IASRG, Faculty of Computing, 81310, Skudai, Malaysia","2016 4th International Conference on User Science and Engineering (i-USEr)","20170220","2016","","","51","56","Researches on human thinking styles have received wide attention, especially in online education; an aspect of human computer interaction. However, the deciphering of specific thinking styles of an online user has suffered setbacks due to the limited exposition on the probability of online thinking style signature of users. This study explored this limitation with the assumption that human daily behavioral pattern can be translated into the electronic media of communication frequently used. To ascertain this assumption, server-side web data of 43-respondents were collected for 10-months as well as a self-report thinking style measurement instrument for each respondent. Cluster dichotomies from two thinking styles were extracted. Various supervised machine learning techniques were then applied to distinguish individuals on each dichotomy. The result showed that thinking styles of individuals on different dichotomies can be reliably distinguished on the internet using Logistic model tree with Bagging technique. The result demonstrates a high probability of the existence of digital thinking style. The findings from this study find relevance and application in human-centered graphical user interface design for recommender system as well as in e-commerce services. It also finds application in online profiling processes especially in e-learning systems.","","Electronic:978-1-5090-2631-9; POD:978-1-5090-2632-6; USB:978-1-5090-2630-2","10.1109/IUSER.2016.7857933","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7857933","Cognitive digital signature;Individual difference;Sternberg thinking style;digital behavioral signature;supervised machine learning approach","Correlation;Education;Feature extraction;Human computer interaction;Instruments;Internet;Telecommunication traffic","Internet;computer aided instruction;electronic commerce;graphical user interfaces;human computer interaction;learning (artificial intelligence);pattern clustering;probability;recommender systems","HCI systems;Internet;Logistic model;bagging technique;cluster dichotomy extraction;digital thinking style;e-commerce services;e-learning systems;electronic communication media;human computer interaction;human daily behavioral pattern;human-centered graphical user interface design;online education;online interaction;online profiling processes;online thinking style signature probability;recommender system;server-side web data;supervised machine learning techniques","","","","","","","23-25 Aug. 2016","","IEEE","IEEE Conference Publications"
"Research Agenda: Spacetime Computation and the Neocortex","J. E. Smith","","IEEE Micro","20170302","2017","37","1","8","14","Understanding the basic computing paradigms at work in the neocortex may provide new avenues of exploration for computer engineering. This article examines the idea that new, advanced computing capabilities can be achieved by ""spacetime"" computing paradigms and advocates for research and development of such paradigms using plausible features from neuroscience as a guide.","0272-1732;02721732","","10.1109/MM.2017.12","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7866805","cognitive processing;machine learning;neocortex;neural networks;spacetime","Cognitive science;Delays;Electric potential;Machine learning;Neural networks;Receivers;Spacetime","","","","","","","","","Jan.-Feb. 2017","","IEEE","IEEE Journals & Magazines"
"Detection of shyness in smiles","M. B. B. Burhanuddin; S. L. Lutfi","School of Computer Sciences, Universiti Sains Malaysia, USM, 11800 Georgetown, Penang, Malaysia","2016 4th International Conference on User Science and Engineering (i-USEr)","20170220","2016","","","133","138","Automatic recognition of emotion through facial expressions remains an active area of study. This study concerns the detection of shyness in smiles. As far as our knowledge is concerned, detecting the emotion of shyness through smile thus far has not been studied. Experiment was conducted where test subjects underwent an experiment with a stimuli designed to elicit shyness in their smiles. The expected results will be able to distinguish between shy-smile and non-shy smile. This paper reports the design of the data collection and the results obtained from the experiment.","","Electronic:978-1-5090-2631-9; POD:978-1-5090-2632-6; USB:978-1-5090-2630-2","10.1109/IUSER.2016.7857948","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7857948","detection;machine learning;shyness;smile","Computers;Conferences;Cultural differences;Data collection;Face recognition;Feature extraction;Videos","emotion recognition;feature extraction","automatic emotion recognition;facial expressions;image feature vector extraction;shy-smile;shyness detection","","","","","","","23-25 Aug. 2016","","IEEE","IEEE Conference Publications"
"Learning Roadway Surface Disruption Patterns Using the Bag of Words Representation","L. C. González; R. Moreno; H. J. Escalante; F. Martínez; M. R. Carlos","Facultad de Ingenier&#x00ED;a, Universidad Aut&#x00F3;noma de Chihuahua, Chihuahua 31125, Mexico.","IEEE Transactions on Intelligent Transportation Systems","","2017","PP","99","1","13","Accurately classifying roadway surface disruptions (RSDs) plays a crucial role to enhance quality transportation and road safety. To this end, smartphones are becoming an ad hoc tool to collect road data, while the user is at the steering wheel. In this paper, for the first time, sensed data are represented with a novel technique inspired in the bag of words representation. New results suggest that segments of accelerometer readings play a key role to characterize different classes of events, boosting classification performance. A novel data collection process was conducted in real-life environments, where the smartphones were freely placed at five user-surveyed locations, within a fleet of cars and trucks. To the best of our knowledge, this is the largest and most heterogenous data set for RSDs, and we make it publicly available. We approach the problem of identifying RSDs as one of supervised learning, where we contrast representative classifiers, most of them not previously reported. We exhaustively evaluated the performance of all classifiers in six data sets, most of them resembling actual data sets used in similar projects. We found that in all cases, the best classifier outperforms the best results reported so far. The proposed methodology was extensively evaluated through a sensitivity analysis to determine the relevance of the parameters. Experimental results reveal that the representation technique boosts considerably the classification performance when compared with the state of the art solutions, reducing in one order of magnitude the false-positives/negatives rate and surpassing the classification accuracy for about 10% in a multiclass data set.","1524-9050;15249050","","10.1109/TITS.2017.2662483","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7859473","Roadway surface disruptions;accelerometer;bag of words representation;machine learning.","Accelerometers;Automobiles;Data collection;Roads;Sensors;Smart phones;Urban areas","","","","","","","","20170221","","","IEEE","IEEE Early Access Articles"
"Predicting the popularity of online news from content metadata","M. T. Uddin; M. J. A. Patwary; T. Ahsan; M. S. Alam","Department of Computer Science and Engineering, International Islamic University Chittagong, Bangladesh","2016 International Conference on Innovations in Science, Engineering and Technology (ICISET)","20170216","2016","","","1","5","Popularity prediction of online news aims to predict the future popularity of news article prior to its publication estimating the number of shares, likes, and comments. Yet, popularity prediction is a challenging task due to various issues including difficulty to measure the quality of content and relevance of content to users; prediction difficulty of complex online interactions and information cascades; inaccessibility of context outside the web; local and geographic conditions; social network properties. This paper focuses on popularity prediction of online news by predicting whether users share an article or not, and how many users share the news adopting before publication approach. This paper proposes the gradient boosting machine for popularity prediction using features that are known before publication of articles. The proposed model shows around 1.8% improvement over previously applied techniques on a benchmark dataset. This model also indicates that features extracted from articles keywords, publication day, and the data channel are highly influential for popularity prediction.","","Electronic:978-1-5090-6122-8; POD:978-1-5090-6123-5","10.1109/ICISET.2016.7856498","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7856498","Before Publication Approach;Machine Learning;Popularity Prediction;Social Media Contents;Text Mining","Computational modeling;Decision trees;Feature extraction;Metadata;Prediction algorithms;Predictive models;Social network services","data mining;electronic publishing;learning (artificial intelligence);meta data;social networking (online);text analysis","article keywords;article publication;benchmark dataset;complex online interactions;content metadata;content quality measurement;content relevance measurement;data channel;geographic conditions;gradient boosting machine;information cascades;local conditions;online news popularity prediction;publication day;social network properties","","","","","","","28-29 Oct. 2016","","IEEE","IEEE Conference Publications"
"Improving KPCA Online Extraction by Orthonormalization in the Feature Space","J. B. O. Souza Filho; P. S. R. Diniz","Electrical Engineering Program, COPPE/POLI/Federal University of Rio de Janeiro, Rio de Janeiro 21941-972, Brazil.","IEEE Transactions on Neural Networks and Learning Systems","","2017","PP","99","1","6","Recently, some online kernel principal component analysis (KPCA) techniques based on the generalized Hebbian algorithm (GHA) were proposed for use in large data sets, defining kernel components using concise dictionaries automatically extracted from data. This brief proposes two new online KPCA extraction algorithms, exploiting orthogonalized versions of the GHA rule. In both the cases, the orthogonalization of kernel components is achieved by the inclusion of some low complexity additional steps to the kernel Hebbian algorithm, thus not substantially affecting the computational cost of the algorithm. Results show improved convergence speed and accuracy of components extracted by the proposed methods, as compared with the state-of-the-art online KPCA extraction algorithms.","2162-237X;2162237X","","10.1109/TNNLS.2017.2660441","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7859414","Kernel methods;machine learning and generalized Hebbian algorithm (GHA);online kernel algorithms;principal component analysis (PCA).","Algorithm design and analysis;Convergence;Dictionaries;Feature extraction;Kernel;Machine learning algorithms;Principal component analysis","","","","","","","","20170220","","","IEEE","IEEE Early Access Articles"
"Real-time traffic classification with Twitter data mining","D. A. Kurniawan; S. Wibirama; N. A. Setiawan","Department of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Indonesia","2016 8th International Conference on Information Technology and Electrical Engineering (ICITEE)","20170228","2016","","","1","5","The growth of vehicles in Yogyakarta Province, Indonesia is not proportional to the growth of roads. This problem causes severe traffic jam in many main roads. Common traffic anomalies detection using surveillance camera requires manpower and costly, while traffic anomalies detection with crowdsourcing mobile applications are mostly owned by private. This research aims to develop a real-time traffic classification by harnessing the power of social network data, Twitter. In this study, Twitter data are processed to the stages of preprocessing, feature extraction, and tweet classification. This study compares classification performance of three machine learning algorithms, namely Naive Bayes (NB), Support Vector Machine (SVM), and Decision Tree (DT). Experimental results show that SVM algorithm produced the best performance among the other algorithms with 99.77% and 99.87% of classification accuracy in balanced and imbalanced data, respectively. This research implies that social network service may be used as an alternative source for traffic anomalies detection by providing information of traffic flow condition in real-time.","","Electronic:978-1-5090-4139-8; POD:978-1-5090-4140-4; USB:978-1-5090-4138-1","10.1109/ICITEED.2016.7863251","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7863251","data mining in Twitter;machine learning;social network;traffic;tweet classification","Classification algorithms;Feature extraction;Machine learning algorithms;Niobium;Real-time systems;Support vector machines;Twitter","Bayes methods;data mining;decision trees;feature extraction;learning (artificial intelligence);pattern classification;social networking (online);support vector machines;traffic engineering computing","Indonesia;Naive Bayes algorithms;SVM;Twitter data mining;Twitter data preprocessing;Yogyakarta Province;decision tree;feature extraction;machine learning;real-time traffic classification;social network data;social network service;support vector machine;traffic anomaly detection;traffic flow condition;traffic jam;tweet classification","","","","","","","5-6 Oct. 2016","","IEEE","IEEE Conference Publications"
"Object Recognition Using Deep Convolutional Features Transformed by a Recursive Network Structure","H. M. Bui; M. Lech; E. Cheng; K. Neville; I. S. Burnett","School of Engineering RMIT University, Melbourne, Australia; currently studying offshore at Center of Technology RMIT University, Ho Chi Minh city, Vietnam. (e-mails: s3372651@rmit.edu.vn or s3372651@student.rmit.edu.au).","IEEE Access","","2017","PP","99","1","1","Deep Neural Networks (DNN) trained on large datasets have been shown to be able to capture high quality features describing image data. Numerous studies have proposed various ways to transfer DNN structures trained on large data sets to perform classification tasks represented by relatively small datasets. Due to the limitations of these proposals, it is not well known how to effectively adapt the pre-trained model into the new task. Typically, the transfer process uses a combination of fine-tuning and training of adaptation layers, however, both tasks are susceptible to problems with data shortage and high computational complexity. This work proposes an improvement to the well-known AlexNet feature extraction technique. The proposed approach applies a Recursive Neural Network (RNN) structure on features extracted by a Deep Convolutional Neural Network (CNN) pre-trained on a large data set. Object recognition experiments conducted on the Washington RGBD image data set have shown that, the proposed method has the advantages of structural simplicity combined with the ability to provide higher recognition accuracy at a low computational cost compared to other relevant methods. The new approach requires no training at the feature extraction phase, and can be performed very efficiently as the output features are compact and highly discriminative, and can be used with a simple classifier in object recognition settings.","2169-3536;21693536","","10.1109/ACCESS.2016.2639543","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7869276","knowledge transfer;machine learning;neural networks;pattern recognition","Australia;Data mining;Feature extraction;Machine learning;Neural networks;Object recognition;Training","","","","","","","","20170302","","","IEEE","IEEE Early Access Articles"
