"http://ieeexplore.ieee.org/search/searchresult.jsp?ar=6965074,6965086,6964667,6964981,6964670,6965218,6962478,6964681,6963051,6960713,6958423,6963067,6958364,6958852,6958564,6959906,6956590,6837494,6954222,6949269,6950180,6950922,6950659,6949382,6949843,6949463,6943852,6944623,6947835,6945108,6947493,6947862,6946844,6947957,6587035,6598664,6940528,6938748,6774489,6936652,6931418,6931303,6932954,6932687,6933648,6931456,6933023,6883166,6927094,6927531,6927615,6927630,6927559,6927543,6927555,6928198,6930544,6927550,6927046,6927553,6930203,6927061,6927769,6927638,6927662,6927641,6921978,6918444,6926174,6921618,6921489,6923178,6921853,6924291,6926506,6921608,6921986,6921417,6921606,6923239,6924476,6923122,6921604,6923245,6921771,6921607,6921412,6921769,6921605,6921497,6921676,6923816,6920710,6921172,6921147,6921126,6920724,6919856,6920734,6921064",2017/05/04 22:17:15
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Geographic focus detection using multiple location taggers","P. Berger; P. Hennig; D. Glaeser; H. Klement; C. Meinel","Hasso-Plattner-Institute, University of Potsdam, Germany","2014 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM 2014)","20141016","2014","","","403","408","Being able to identify locations associated to a Web resource is essential for providing location-based Web applications. However, geographical information in Web documents is rarely supplied in a machine-readable way and therefore not easily discoverable. As a consequence, it is necessary to extract geographical keywords from Web documents and to associate locations with them. This method is called location tagging. In this paper we present a location tagging approach for unstructured documents which utilizes multiple external location providers. Detected locations are ranked according to their relevance for the document, in order to identify a document's geographical focus, which is its most representative location. We present an exemplary implementation of our proposed approach using two location providers and evaluate our method's applicability.","","Electronic:978-1-4799-5877-1; POD:978-1-4799-5878-8; USB:978-1-4799-5876-4","10.1109/ASONAM.2014.6921618","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6921618","","Asia;Blogs;Conferences;Social network services;Tagging;Text analysis;Web pages","Internet;document handling;geographic information systems;information retrieval","Web documents;Web resource;document geographical focus identification;geographic focus detection;geographical information;geographical keyword extraction;location-based Web applications;multiple external location providers;multiple location taggers;unstructured documents","","0","","9","","","17-20 Aug. 2014","","IEEE","IEEE Conference Publications"
"Improving security mechanism to access HDFS data by mobile consumers using middleware-layer framework","S. Singh; S. Sharma","Department of Computer Science, Lovely Professional University, Punjab, India","Fifth International Conference on Computing, Communications and Networking Technologies (ICCCNT)","20141120","2014","","","1","7","Revolution in the field of technology leads to the development of cloud computing which delivers on-demand and easy access to the large shared pools of online stored data, softwares and applications. It has changed the way of utilizing the IT resources but at the compromised cost of security breaches as well such as phishing attacks, impersonation, lack of confidentiality and integrity. Thus this research work deals with the core problem of providing absolute security to the mobile consumers of public cloud to improve the mobility of user's, accessing data stored on public cloud securely using tokens without depending upon the third party to generate them. This paper presents the approach of simplifying the process of authenticating and authorizing the mobile user's by implementing middleware-centric framework called MiLAMob model with the huge online data storage system i.e. HDFS. It allows the consumer's to access the data from HDFS via mobiles or through the social networking sites eg. facebook, gmail, yahoo etc using OAuth 2.0 protocol. For authentication, the tokens are generated using one-time password generation technique and then encrypting them using AES method. By implementing the flexible user based policies and standards, this model improves the authorization process.","","CD-ROM:978-1-4799-2695-4; Electronic:978-1-4799-2696-1; POD:978-1-4799-2697-8","10.1109/ICCCNT.2014.6963051","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6963051","Authentication;Authorization;Computing;HDFS;MiLAMob;OAuth 2.0;Security;Token","Authentication;Cloud computing;Data models;Mobile communication;Permission;Social network services","authorisation;cloud computing;cryptography;information retrieval;middleware;mobile computing;protocols;social networking (online);storage management","AES method;Facebook;Gmail;HDFS data access;IT resources;MiLAMob model;OAuth 2.0 protocol;Yahoo;authorization process;cloud computing;encryption;flexible user based policies;middleware-centric framework;middleware-layer framework;mobile consumers;one-time password generation technique;online data storage system;online stored data;public cloud;security mechanism;social networking sites;tokens","","0","","6","","","11-13 July 2014","","IEEE","IEEE Conference Publications"
"LBDA: A novel framework for extracting content from web pages","A. S. Vijendran; C. Deepa","Department Of MCA SNR Sons College, Coimbatore, Tamilnadu, India","2013 International Conference on Advanced Computing and Communication Systems","20141030","2013","","","1","7","The internet presents an enormous amount of useful information which is usually formatted for web users, but it is a complex task to extract the relevant data from various web sources. Recently, many approaches for data extraction from web pages have been proposed and each having their own merits and limitations. This paper provides a simple but effective approach, named layout based detachment approach (LBDA). The proposed approach extracts the main content from the web page and removes the irrelevant information like header, footer contents, navigation bars, advertisements and other noisy images. The proposed methodology uses the following techniques: tag tree parsing to get the analysis structure, block acquiring page segmentation method to remove unwanted tags, and data extraction to retrieve the necessary contents. It can eliminate noise and extract the main content blocks from web page effectively and display the essential content to the users. The performance is evaluated based on the following metrics like precision, recall, accuracy, execution time and memory usage. The implementation results obviously show that our proposed LBDA approach is performed better than the existing heuristic approach.","","Electronic:978-1-4799-3506-2; POD:978-1-4799-3507-9","10.1109/ICACCS.2013.6938748","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6938748","DOM tree analysis;Web mining;Web page content extraction;Web structure mining","Data mining;HTML;Layout;Noise;Visualization;Web pages","Internet;information retrieval","LBDA approach;Web page;accuracy metric;block acquiring page segmentation method;content extraction;content retrieval;data extraction;execution time metric;layout based detachment approach;memory usage metric;precision metric;recall metric;tag tree parsing technique","","0","","18","","","19-21 Dec. 2013","","IEEE","IEEE Conference Publications"
"Swarming in the Urban Web Space to Discover the Optimal Region","C. Kumar; U. Gruenefeld; W. Heuten; S. Boll","Univ. of Oldenburg, Oldenburg, Germany","2014 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT)","20141020","2014","2","","234","241","People moving to a new place usually look for a suitable region with respect to their multiple criteria of interests. In this work we map this problem to the migration behavior of other species such as swarming, which is a collective behavior exhibited by animals of similar size which aggregate together, milling about the same region. Taking the swarm intelligence perspective, we present a novel method to find relevant geographic region for citizens based on Particle Swarm Optimization (PSO) framework. Particles represent geographic regions which are moving in the map space to find a region most relevant with respect to user's query. The characterization of geographic regions is based on the multi-criteria distribution of geo-located facilities or landscape structure from the Open Street Map data source. We enable end users to visualize and evaluate the regional search process of PSO via a Web interface. The proposed framework demonstrates high precision and computationally efficient performance for regional search over a vast city based dataset.","","Electronic:978-1-4799-4143-8; POD:978-1-4799-4142-1","10.1109/WI-IAT.2014.103","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6927630","Geographic Regions;Local Search;Particle Swarm Optimization;Regional Search;Spatial Decision Making;Swarm Intelligence","Cities and towns;Data visualization;Equations;Geospatial analysis;Mathematical model;Optimization;Particle swarm optimization","Internet;geographic information systems;information retrieval;particle swarm optimisation;user interfaces","OpenStreetMap data source;PSO;Web interface;city based dataset;computationally efficient performance;geo-located facilities;geographic region;landscape structure;migration behavior;multicriteria distribution;optimal region discovery;particle swarm optimization framework;regional search process;swarm intelligence perspective;urban Web space swarming","","0","","20","","","11-14 Aug. 2014","","IEEE","IEEE Conference Publications"
"Data encryption using Counting Bloom Filters for cloud security","A. Nagamalli; S. S. Krishna; B. KeerthiPriya","E.C.E Dept., Gayatri Vidya Parishad Coll. of Eng.(A), Visakhapatnam, India","Third International Conference on Computational Intelligence and Information Technology (CIIT 2013)","20141110","2013","","","514","518","Encryption of data is of utmost importance for secure transmission. Traditional keyword search techniques downloading all the data and decrypting locally is clearly impractical, due to the huge amount of bandwidth cost in cloud scale systems. This paper presents a methodology for encrypting the data for limited reserved strings that are stored in Counting Bloom Filters (CBF). CBF is a small array of element addresses that are connected to the array through a hashing mechanism. Counting bloom filter is used for increasing the speed of the set membership tests. If the string is a member of counting bloom filter it is encrypted using Data Encryption Standard, else the string is transmitted without encryption. This reduces the effective time for encryption and increases security.","","Electronic:978-1-84919-859-2","10.1049/cp.2013.2638","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6950922","Counting bloom filter;DES algorithm;Data encryption;Fiestal function;Linear Feedback Shift register","","cloud computing;cryptography;data structures;information retrieval;set theory","CBF;cloud scale systems;cloud security;counting bloom filters;data encryption standard;hashing mechanism;keyword search techniques;set membership tests","","0","","","","","18-19 Oct. 2013","","IET","IET Conference Publications"
"Analysis of patent portfolio and knowledge flow of the global semiconductor industry","C. C. Chiu; H. N. Su","Graduate Institute of Technology Management, National Chung Hsing University, Taichung, Taiwan","Proceedings of PICMET '14 Conference: Portland International Center for Management of Engineering and Technology; Infrastructure and Service Integration","20141013","2014","","","3621","3634","This study aims to analyze semiconductor patents in following dimensions: characterizing patent, forecasting future trends, uncovering key patent, as well as proposing patent strategies for the development of semiconductor industry. In addition, this research studies investigate of patents, in 1) national, 2) industrial and 3) organizational levels, through social network analysis, two-dimensional contour map analysis and patent characteristics analysis. In this study, semiconductor patents are retrieved, on the basis of IPC, from the United State Patent and Trademark Office (USPTO) database. Furthermore, the development trend and knowledge flow are investigated and visualized through the analysis of the numbers of patents, litigated patents, technological life cycle, patent citations and patent information, etc.","2159-5100;21595100","Electronic:978-1-890843-29-8; POD:978-1-4799-5769-9; USB:978-1-890843-30-4","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6921147","","Companies;Electronics industry;Integrated circuits;Patents;Silicon;Social network services;Transistors","information retrieval;manufacturing data processing;patents;semiconductor industry;social networking (online)","IPC;USPTO database;United State Patent and Trademark Office;future trends forecasting;global semiconductor industry;industrial levels;knowledge flow;litigated patents;national levels;organizational levels;patent characteristics analysis;patent characterization;patent citations;patent information;patent portfolio analysis;patent strategies;semiconductor industry development;semiconductor patents;social network analysis;technological life cycle;two-dimensional contour map analysis","","0","","73","","","27-31 July 2014","","IEEE","IEEE Conference Publications"
"Enhanced Particle Swarm Optimization algorithm with resuse guided retrieval capabilities","N. Nouaouria; M. Boukadoum; R. Proulx","Department of computer science, UQAM, Montreal, Canada","2014 IEEE 13th International Conference on Cognitive Informatics and Cognitive Computing","20141016","2014","","","392","399","This paper presents a novel associative memory model to perform the retrieval stage in a case based reasoning system. The described approach makes no prior assumption of a specific organization of the case memory, thus leading to a generic recall process. This is made possible by using Particle Swarm Optimization (PSO) to compute the neighborhood of a new problem, followed by direct access to the cases it contains. The fitness function of the PSO stage has a reuse semantic that combines similarity and adaptability as criteria for optimal case retrieval. The model was experimented on two proprietary databases and compared to the flat memory model for performance. The obtained results are very promising.","","Electronic:978-1-4799-6081-1; POD:978-1-4799-6082-8","10.1109/ICCI-CC.2014.6921489","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6921489","Case Based Reasoning (CBR);Particle Swarm Optimization (PSO);Reuse-Guided-Retrieval (RGR)","Adaptation models;Computational modeling;Mathematical model;Organizations;Particle swarm optimization;Search problems;Wind speed","associative processing;case-based reasoning;information retrieval;particle swarm optimisation","PSO;case based reasoning system;enhanced particle swarm optimization algorithm;flat memory model;novel associative memory model;optimal case retrieval;resuse guided retrieval capabilities","","0","","21","","","18-20 Aug. 2014","","IEEE","IEEE Conference Publications"
"A stochastic model for budget distribution over time in search advertisements","R. Qin; Y. Yuan; J. Li; Y. Yang","The State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China","Proceedings of 2014 IEEE International Conference on Service Operations and Logistics, and Informatics","20141120","2014","","","166","171","In search advertisements, advertisers have to seek for an effective allocation strategy to distribute the limited budget over a series of sequential temporal slots (e.g., days). However, advertisers usually have no sufficient knowledge to determine the optimal budget for each temporal slot, because there exist much uncertainty in search advertising markets. In this paper, we present a stochastic model for budget distribution over a series of sequential temporal slots under a finite time horizon, assuming that the best budget is a random variable. We study some properties and feasible solutions for our model, taking the best budget being characterized by either normal distribution or uniform distribution, respectively. Furthermore, we also make some experiments to evaluate our model and identify strategies with the real-world data collected from practical advertising campaigns. Experimental results show that a) our strategies outperform the baseline strategy that is commonly used in practice; b) the optimal budget is more likely to be normally distributed than uniformly distributed.","","Electronic:978-1-4799-6058-3; POD:978-1-4799-6059-0; USB:978-1-4799-6057-6","10.1109/SOLI.2014.6960713","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6960713","budget constraint;budget distribution;optimal budget;search advertisement;stochastic programming","Gaussian distribution;Programming","advertising;information retrieval;stochastic processes","allocation strategy;budget distribution;finite time horizon;normal distribution;optimal budget;search advertisements;search advertising markets;sequential temporal slots;stochastic model;temporal slot;uniform distribution","","0","","8","","","8-10 Oct. 2014","","IEEE","IEEE Conference Publications"
"Sparse Modeling of Magnitude and Phase-Derived Spectra for Playing Technique Classification","L. Su; H. M. Lin; Y. H. Yang","Research Center for Information Technology Innovation, Academia Sinica, Taipei, Taiwan","IEEE/ACM Transactions on Audio, Speech, and Language Processing","20141016","2014","22","12","2122","2132","Computational modeling of musical timbre is important for a variety of music information retrieval applications. While considerable progress has been made to recognize musical genres and instruments, relatively little attention has been paid to modeling playing techniques, which affect timbre in more subtle ways. In this paper, we contribute to this area of research by systematically evaluating various audio features and processing methods for multi-class playing technique classification, considering up to nine distinct playing techniques of bowed string instruments. Specifically, a collection of 6,759 chamber-recorded single notes of four bowed string instruments and a collection of 33 real-world solo violin recordings are used in the evaluation. Our evaluation shows that using sparse features extracted from the magnitude spectra and phase derivatives including group delay function (GDF) and instantaneous frequency deviation (IFD) leads to significantly better performance than using a combination of state-of-the-art temporal, spectral, cepstral and harmonic feature descriptors. For playing technique classification of violin singe notes, the former approach attains 0.915 macro-average F-score under a tenfold cross validation setting, while the latter only attains 0.835. Moreover, sparse modeling of magnitude and phase-derived spectra also performs well for single-note joint instrument-technique classification (F-score 0.770) and for playing technique classification of real-world violin solos (F-score 0.547). We find that phase information is particularly important in discriminating playing techniques with subtle differences, such as playing with different bowing positions (i.e., normal, sul tasto, and sul ponticello). A systematic investigation of the effect of parameters such as window sizes, hop factors, window types for phase-derived features is also reported to provide more insights.","2329-9290;23299290","","10.1109/TASLP.2014.2362006","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6918444","Group delay function;instantaneous frequency deviation;phase;playing technique classification;sparse coding","Encoding;Feature extraction;Harmonic analysis;Instruments;Timbre;Time-frequency analysis","information retrieval;music;musical instruments","GDF;IFD;audio features methods;audio processing methods;bowed string instruments;computational modeling;group delay function;hop factors;instantaneous frequency deviation;magnitude derived spectra;magnitude spectra;multiclass playing technique classification;music information retrieval applications;musical genres;musical instruments;musical timbre;phase derivatives;phase derived features;phase derived spectra;phase information;playing technique classification;real-world violin solos;sparse feature extraction;sparse modeling;violin singe notes;window sizes;window types","","1","","53","","20141008","Dec. 2014","","IEEE","IEEE Journals & Magazines"
"A novel replica of fuzzy ontology for web information gathering","R. L. Kumar; M. Vina; P. Sengottuvelan","Department of information technology, Bannari Amman Institute of Technology, Sathyamangalam, Tamilnadu, India","2013 Fifth International Conference on Advanced Computing (ICoAC)","20141016","2013","","","366","369","Information retrieval (IR) has become an active area of research in recent years to handle with the dynamic environment by establishing intelligent systems which can offer effective web content in real time to various wired or wireless devices. Evolutionary and adaptive systems (EASs) have been widely used. Web information gathering has been widely investigated and a number of approaches have been proposed to carry out web information gathering in an effluent way. In such systems ontology has been expected to have a bright future. In order to represent user profiles in personalized web information gathering several ontology models are widely used. These models are used for representing and reasoning over user profiles. To further improve the overall performance of the ontology based information retrieval system, fuzzy ontology model has been presented. This fuzzy based ontology model learns user profiles from both world knowledge base and user local instance warehouse. This ontology model is evaluated by comparing its performance against benchmark models in web information gathering.","2377-6927;23776927","CD-ROM:978-1-4799-3447-8; Electronic:978-1-4799-3448-5; POD:978-1-4799-3449-2","10.1109/ICoAC.2013.6921978","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6921978","Fuzzy;Ontology;Personalization;User Profiles;World knowledge","Frequency modulation;Indexes;Ontologies","Internet;fuzzy set theory;information retrieval;ontologies (artificial intelligence)","EAS;IR;Web content;Web information gathering;evolutionary and adaptive systems;fuzzy ontology;information retrieval;reasoning;user local instance warehouse;user profiles;world knowledge base","","0","","12","","","18-20 Dec. 2013","","IEEE","IEEE Conference Publications"
